"mz"	"time"	"Subject1TP0"	"Subject1TP1"	"Subject1TP2"	"Subject1TP3"	"Subject2TP0"	"Subject2TP1"	"Subject2TP2"	"Subject2TP3"	"Subject3TP0"	"Subject3TP1"	"Subject3TP2"	"Subject3TP3"	"Subject4TP0"	"Subject4TP1"	"Subject4TP2"	"Subject4TP3"	"Subject5TP0"	"Subject5TP1"	"Subject5TP2"	"Subject5TP3"	"Subject6TP0"	"Subject6TP1"	"Subject6TP2"	"Subject6TP3"	"Subject7TP0"	"Subject7TP1"	"Subject7TP2"	"Subject7TP3"	"Subject8TP0"	"Subject8TP1"	"Subject8TP2"	"Subject8TP3"	"Subject9TP0"	"Subject9TP1"	"Subject9TP2"	"Subject9TP3"	"Subject10TP0"	"Subject10TP1"	"Subject10TP2"	"Subject10TP3"	"Subject11TP0"	"Subject11TP1"	"Subject11TP2"	"Subject11TP3"	"Subject12TP0"	"Subject12TP1"	"Subject12TP2"	"Subject12TP3"	"Subject13TP0"	"Subject13TP1"	"Subject13TP2"	"Subject13TP3"	"Subject14TP0"	"Subject14TP1"	"Subject14TP2"	"Subject14TP3"	"Subject15TP0"	"Subject15TP1"	"Subject15TP2"	"Subject15TP3"	"Subject16TP0"	"Subject16TP1"	"Subject16TP2"	"Subject16TP3"	"Subject17TP0"	"Subject17TP1"	"Subject17TP2"	"Subject17TP3"	"Subject18TP0"	"Subject18TP1"	"Subject18TP2"	"Subject18TP3"
193.09709	101.9	7.15326014603019	7.34891324793886	7.00521516565496	6.83640726180987	7.05058960302773	6.34144885470513	7.05058960302773	6.78797003685164	8.1140132856812	6.8760257270691	6.91933338032131	6.63496030047643	8.02793857936664	7.49679395106884	6.91933338032131	6.95904449538046	8.20203637607019	6.41893344238313	6.91933338032131	5.34924549257333	8.40045441977732	6.27636458635617	6.95904449538046	4.38326744715327	7.21367259869193	6.34144885470513	6.8760257270691	6.34144885470513	7.27002499293191	6.41893344238313	6.91933338032131	6.75128918840058	6.91933338032131	6.34144885470513	7.05058960302773	6.83640726180987	7.56226640620783	7.61896896456634	7.98332957677992	7.41420147696442	7.41420147696442	7.68893200560763	8.02793857936664	7.49679395106884	7.27002499293191	7.41420147696442	7.76044670309895	6.8760257270691	7.21367259869193	7.76044670309895	7.27002499293191	7.05058960302773	7.41420147696442	7.41420147696442	7.88201468678857	7.00521516565496	7.21367259869193	7.34891324793886	7.41420147696442	7.27002499293191	6.78797003685164	7.61896896456634	7.61896896456634	7.09599601242021	6.83640726180987	8.02793857936664	7.27002499293191	7.27002499293191	7.34891324793886	8.02793857936664	7.34891324793886	7.27002499293191
104.07101	114.8	6.75128918840058	5.2160726545107	6.27636458635617	7.76044670309895	6.41893344238313	4.96410049937337	6.63496030047643	7.65395048508699	6.63496030047643	4.50272877490619	6.8760257270691	8.02793857936664	6.58060519001615	4.65836471175702	6.27636458635617	7.68893200560763	7.09599601242021	5.08319465261078	6.70098690414908	7.61896896456634	7.00521516565496	5.53162040472417	6.50571015031642	7.49679395106884	6.75128918840058	4.96410049937337	6.58060519001615	6.8760257270691	6.1765780745181	5.34924549257333	6.83640726180987	7.81942638295829	6.50571015031642	4.65836471175702	6.34144885470513	7.76044670309895	7.41420147696442	6.27636458635617	6.78797003685164	7.05058960302773	7.34891324793886	6.41893344238313	7.05058960302773	7.00521516565496	6.8760257270691	6.50571015031642	6.95904449538046	7.27002499293191	7.15326014603019	6.70098690414908	6.83640726180987	7.15326014603019	7.00521516565496	6.27636458635617	7.05058960302773	7.21367259869193	6.83640726180987	6.58060519001615	7.21367259869193	6.1765780745181	6.83640726180987	6.8760257270691	7.09599601242021	7.21367259869193	7.15326014603019	6.50571015031642	6.41893344238313	7.41420147696442	7.15326014603019	6.50571015031642	6.58060519001615	7.41420147696442
104.07101	114.8	7.09599601242021	6.41893344238313	6.95904449538046	5.2160726545107	6.8760257270691	6.78797003685164	6.78797003685164	6.50571015031642	6.91933338032131	6.34144885470513	6.63496030047643	6.58060519001615	7.15326014603019	5.6964899906761	6.78797003685164	6.38019114854413	7.61896896456634	5.83371512638917	7.05058960302773	6.50571015031642	7.27002499293191	6.50571015031642	6.91933338032131	5.08319465261078	6.91933338032131	5.83371512638917	6.50571015031642	4.0684406670582	6.8760257270691	5.83371512638917	6.50571015031642	5.6964899906761	6.8760257270691	5.2160726545107	6.63496030047643	6.41893344238313	7.09599601242021	6.1765780745181	7.00521516565496	7.00521516565496	7.15326014603019	6.8760257270691	7.09599601242021	7.21367259869193	7.41420147696442	6.8760257270691	7.05058960302773	6.91933338032131	7.34891324793886	6.50571015031642	7.34891324793886	7.21367259869193	7.34891324793886	6.70098690414908	7.15326014603019	6.50571015031642	7.34891324793886	6.75128918840058	6.50571015031642	7.00521516565496	7.27002499293191	6.27636458635617	7.05058960302773	6.63496030047643	7.27002499293191	6.91933338032131	6.91933338032131	7.09599601242021	7.49679395106884	6.78797003685164	6.8760257270691	7.34891324793886
137.04564	76.3	10.2217657137713	9.25088943873214	8.78624774581412	8.55790200336648	10.0444121945286	9.16556336434533	8.9294217527867	8.50179680715976	9.87699956634651	9.25088943873214	8.60528360402245	8.66511372075679	9.87699956634651	9.33643283957098	8.60528360402245	8.44526526281778	10.2984241334775	9.39762613670885	8.55790200336648	8.55790200336648	10.2984241334775	9.25088943873214	8.55790200336648	8.66511372075679	9.79936990072153	9.33643283957098	8.60528360402245	8.60528360402245	9.87699956634651	9.39762613670885	8.60528360402245	8.44526526281778	9.87699956634651	9.33643283957098	8.72287386390548	8.78624774581412	8.20203637607019	8.78624774581412	8.72287386390548	8.07343996028206	8.66511372075679	8.78624774581412	8.60528360402245	7.93526048801018	8.66511372075679	8.78624774581412	8.66511372075679	8.02793857936664	8.44526526281778	8.60528360402245	8.60528360402245	7.98332957677992	8.50179680715976	8.60528360402245	8.66511372075679	8.07343996028206	8.1140132856812	8.66511372075679	8.30710079511326	7.98332957677992	8.20203637607019	8.66511372075679	8.50179680715976	7.98332957677992	8.30710079511326	8.72287386390548	8.35908613536771	8.1140132856812	8.35908613536771	8.72287386390548	8.44526526281778	8.16137494963866
241.03079	130.8	6.95904449538046	4.65836471175702	6.06847453876578	6.27636458635617	6.70098690414908	5.6964899906761	5.6964899906761	6.8760257270691	6.83640726180987	5.34924549257333	6.1765780745181	5.83371512638917	6.78797003685164	6.1765780745181	6.34144885470513	5.6964899906761	7.27002499293191	5.53162040472417	6.1765780745181	6.75128918840058	7.09599601242021	5.93641139611094	6.34144885470513	5.93641139611094	6.34144885470513	5.6964899906761	6.06847453876578	4.29636026612318	6.58060519001615	5.53162040472417	6.78797003685164	6.41893344238313	6.58060519001615	4.8208255604898	6.41893344238313	5.83371512638917	6.78797003685164	6.63496030047643	5.83371512638917	6.41893344238313	6.70098690414908	6.83640726180987	6.63496030047643	6.83640726180987	7.00521516565496	6.70098690414908	6.75128918840058	7.09599601242021	6.63496030047643	6.63496030047643	6.70098690414908	6.95904449538046	6.8760257270691	6.58060519001615	6.95904449538046	6.91933338032131	6.95904449538046	6.1765780745181	6.70098690414908	6.95904449538046	6.91933338032131	6.63496030047643	6.83640726180987	6.8760257270691	7.00521516565496	6.75128918840058	6.70098690414908	6.78797003685164	6.95904449538046	6.75128918840058	6.70098690414908	7.09599601242021
134.04476	132.9	8.1140132856812	7.05058960302773	6.78797003685164	5.83371512638917	8.1140132856812	7.00521516565496	7.00521516565496	4.96410049937337	8.16137494963866	6.91933338032131	6.70098690414908	5.6964899906761	7.41420147696442	6.70098690414908	7.00521516565496	6.06847453876578	8.40045441977732	7.09599601242021	6.83640726180987	5.53162040472417	8.35908613536771	6.75128918840058	6.83640726180987	5.34924549257333	7.61896896456634	7.00521516565496	6.91933338032131	6.41893344238313	7.81942638295829	6.70098690414908	6.63496030047643	6.06847453876578	7.61896896456634	6.91933338032131	6.91933338032131	6.1765780745181	7.34891324793886	7.05058960302773	6.83640726180987	6.91933338032131	6.91933338032131	7.09599601242021	6.78797003685164	6.8760257270691	7.05058960302773	6.91933338032131	6.83640726180987	7.15326014603019	6.75128918840058	7.05058960302773	6.27636458635617	6.83640726180987	7.05058960302773	7.09599601242021	6.78797003685164	6.95904449538046	7.00521516565496	7.09599601242021	6.95904449538046	7.15326014603019	6.95904449538046	6.91933338032131	7.21367259869193	6.95904449538046	6.70098690414908	7.27002499293191	6.1765780745181	7.15326014603019	7.00521516565496	6.83640726180987	6.78797003685164	6.8760257270691
204.12302	70.5	5.83371512638917	7.27002499293191	6.34144885470513	6.50571015031642	5.34924549257333	7.21367259869193	6.41893344238313	6.70098690414908	6.34144885470513	6.83640726180987	6.78797003685164	6.91933338032131	6.41893344238313	6.91933338032131	6.8760257270691	6.70098690414908	6.8760257270691	6.34144885470513	6.41893344238313	6.70098690414908	6.83640726180987	6.78797003685164	6.41893344238313	5.83371512638917	6.1765780745181	6.27636458635617	6.83640726180987	6.1765780745181	5.83371512638917	6.75128918840058	6.41893344238313	5.83371512638917	5.93641139611094	6.41893344238313	6.75128918840058	5.93641139611094	6.1765780745181	8.02793857936664	7.41420147696442	7.27002499293191	5.83371512638917	7.98332957677992	7.27002499293191	7.56226640620783	6.95904449538046	7.81942638295829	7.49679395106884	7.00521516565496	6.8760257270691	7.88201468678857	7.49679395106884	6.8760257270691	6.91933338032131	7.81942638295829	7.61896896456634	7.05058960302773	6.70098690414908	7.98332957677992	7.49679395106884	7.21367259869193	7.05058960302773	8.07343996028206	7.41420147696442	7.15326014603019	6.95904449538046	8.1140132856812	7.41420147696442	6.70098690414908	6.8760257270691	8.1140132856812	7.21367259869193	7.21367259869193
132.07675	102.1	8.30710079511326	7.15326014603019	6.75128918840058	6.78797003685164	8.20203637607019	7.15326014603019	6.75128918840058	6.06847453876578	7.98332957677992	6.95904449538046	6.95904449538046	6.34144885470513	8.1140132856812	7.00521516565496	6.75128918840058	6.38019114854413	8.44526526281778	6.63496030047643	6.78797003685164	6.41893344238313	8.23995300541424	6.70098690414908	6.70098690414908	6.34144885470513	7.41420147696442	6.95904449538046	6.75128918840058	5.93641139611094	7.56226640620783	6.83640726180987	6.75128918840058	6.1765780745181	7.76044670309895	7.34891324793886	6.78797003685164	6.70098690414908	6.8760257270691	7.15326014603019	6.95904449538046	7.09599601242021	7.00521516565496	7.00521516565496	6.95904449538046	7.09599601242021	6.83640726180987	7.21367259869193	7.09599601242021	6.75128918840058	6.95904449538046	6.83640726180987	6.91933338032131	7.00521516565496	6.95904449538046	7.00521516565496	7.00521516565496	7.09599601242021	6.91933338032131	7.15326014603019	6.78797003685164	6.75128918840058	7.15326014603019	7.00521516565496	6.78797003685164	7.05058960302773	7.05058960302773	7.00521516565496	6.95904449538046	7.05058960302773	7.09599601242021	7.15326014603019	6.63496030047643	7.05058960302773
170.09226	125.4	8.60528360402245	7.76044670309895	7.15326014603019	7.00521516565496	8.60528360402245	7.49679395106884	7.34891324793886	6.34144885470513	8.60528360402245	7.34891324793886	6.83640726180987	6.1765780745181	8.55790200336648	7.76044670309895	6.95904449538046	6.91933338032131	8.72287386390548	7.15326014603019	6.63496030047643	5.6964899906761	8.50179680715976	7.15326014603019	6.8760257270691	6.27636458635617	7.56226640620783	7.27002499293191	6.95904449538046	6.78797003685164	7.61896896456634	7.15326014603019	7.00521516565496	4.8208255604898	7.34891324793886	7.27002499293191	6.8760257270691	7.00521516565496	7.00521516565496	7.49679395106884	6.34144885470513	6.95904449538046	7.09599601242021	6.91933338032131	6.8760257270691	6.95904449538046	6.75128918840058	7.09599601242021	6.70098690414908	6.83640726180987	6.83640726180987	7.15326014603019	6.58060519001615	6.75128918840058	6.70098690414908	7.21367259869193	6.83640726180987	6.8760257270691	7.27002499293191	7.41420147696442	7.05058960302773	6.70098690414908	7.09599601242021	7.34891324793886	5.53162040472417	6.70098690414908	7.09599601242021	7.61896896456634	6.8760257270691	6.75128918840058	7.05058960302773	7.41420147696442	6.75128918840058	6.63496030047643
195.08769	172.6	7.76044670309895	5.34924549257333	5.2160726545107	3.13585876815569	6.95904449538046	5.08319465261078	4.29636026612318	4.65836471175702	6.8760257270691	5.08319465261078	5.6964899906761	4.65836471175702	6.95904449538046	5.2160726545107	6.1765780745181	4.0684406670582	7.15326014603019	5.34924549257333	5.6964899906761	4.29636026612318	7.05058960302773	5.6964899906761	5.2160726545107	4.17654945138766	6.63496030047643	5.53162040472417	5.83371512638917	3.81505553200736	6.63496030047643	4.65836471175702	4.96410049937337	3.92843431444283	6.63496030047643	5.83371512638917	5.53162040472417	4.8208255604898	6.50571015031642	6.06847453876578	6.27636458635617	5.53162040472417	6.58060519001615	6.34144885470513	6.50571015031642	6.41893344238313	6.58060519001615	7.00521516565496	6.1765780745181	6.1765780745181	6.06847453876578	6.41893344238313	5.53162040472417	6.41893344238313	6.41893344238313	6.41893344238313	6.06847453876578	6.41893344238313	6.50571015031642	6.50571015031642	6.06847453876578	6.34144885470513	6.58060519001615	6.50571015031642	5.83371512638917	5.34924549257333	5.83371512638917	6.41893344238313	5.08319465261078	6.50571015031642	6.50571015031642	6.41893344238313	6.06847453876578	6.50571015031642
