SampleID	Class1	Class2
14-10-cecum_1	GF.cecum	t0:00
19-12-cecum_1	GF.cecum	t0:00
2-11-cecum_1	GF.cecum	t0:00
10-14-cecum_1	GF.cecum	t04:00
27-13-cecum_1	GF.cecum	t04:00
32-15-cecum_1	GF.cecum	t04:00
20-16-cecum_1	GF.cecum	t08:00
3-17-cecum_1	GF.cecum	t08:00
25-2-cecum_1	GF.cecum	t12:00
30-3-cecum_1	GF.cecum	t12:00
8-1-cecum_1	GF.cecum	t12:00
1-5-ceccum_1	GF.cecum	t16:00
13-4-cecum_1	GF.cecum	t16:00
18-6-cecum_1	GF.cecum	t16:00
26-7-cecum_1	GF.cecum	t20:00
31-9-cecum_1	GF.cecum	t20:00
9-8-cecum_1	GF.cecum	t20:00
16-83-cecum_1	SPF.cecum	t0:00
22-87-cecum_1	SPF.cecum	t0:00
5-85-cecum_1	SPF.cecum	t0:00
24-101-cecum_1	SPF.cecum	t04:00
34-105-cecum_1	SPF.cecum	t04:00
7-103-cecum_1	SPF.cecum	t04:00
11-73-cecum_1	SPF.cecum	t08:00
28-71-cecum_1	SPF.cecum	t08:00
33-75-cecum_1	SPF.cecum	t08:00
17-89-cecum_1	SPF.cecum	t12:00
23-93-cecum_1	SPF.cecum	t12:00
6-91-cecum_1	SPF.cecum	t12:00
15-77-cecum_1	SPF.cecum	t16:00
21-81-cecum_1	SPF.cecum	t16:00
4-79-cecum_1	SPF.cecum	t16:00
12-97-cecum_1	SPF.cecum	t20:00
29-95-cecum_1	SPF.cecum	t20:00
35-99-cecum_1	SPF.cecum	t20:00
