"max.fold.change.log2"	"degree_rank"	"diffexp_rank"	"P.value"	"adjusted.P.value"	"mz"	"time"	"Subject.1.TP.0"	"Subject.1.TP.1"	"Subject.1.TP.2"	"Subject.1.TP.3"	"Subject.2.TP.0"	"Subject.2.TP.1"	"Subject.2.TP.2"	"Subject.2.TP.3"	"Subject.3.TP.0"	"Subject.3.TP.1"	"Subject.3.TP.2"	"Subject.3.TP.3"	"Subject.4.TP.0"	"Subject.4.TP.1"	"Subject.4.TP.2"	"Subject.4.TP.3"	"Subject.5.TP.0"	"Subject.5.TP.1"	"Subject.5.TP.2"	"Subject.5.TP.3"	"Subject.6.TP.0"	"Subject.6.TP.1"	"Subject.6.TP.2"	"Subject.6.TP.3"	"Subject.7.TP.0"	"Subject.7.TP.1"	"Subject.7.TP.2"	"Subject.7.TP.3"	"Subject.8.TP.0"	"Subject.8.TP.1"	"Subject.8.TP.2"	"Subject.8.TP.3"	"Subject.9.TP.0"	"Subject.9.TP.1"	"Subject.9.TP.2"	"Subject.9.TP.3"	"Subject.10.TP.0"	"Subject.10.TP.1"	"Subject.10.TP.2"	"Subject.10.TP.3"	"Subject.11.TP.0"	"Subject.11.TP.1"	"Subject.11.TP.2"	"Subject.11.TP.3"	"Subject.12.TP.0"	"Subject.12.TP.1"	"Subject.12.TP.2"	"Subject.12.TP.3"	"Subject.13.TP.0"	"Subject.13.TP.1"	"Subject.13.TP.2"	"Subject.13.TP.3"	"Subject.14.TP.0"	"Subject.14.TP.1"	"Subject.14.TP.2"	"Subject.14.TP.3"	"Subject.15.TP.0"	"Subject.15.TP.1"	"Subject.15.TP.2"	"Subject.15.TP.3"	"Subject.16.TP.0"	"Subject.16.TP.1"	"Subject.16.TP.2"	"Subject.16.TP.3"	"Subject.17.TP.0"	"Subject.17.TP.1"	"Subject.17.TP.2"	"Subject.17.TP.3"	"Subject.18.TP.0"	"Subject.18.TP.1"	"Subject.18.TP.2"	"Subject.18.TP.3"
0.6575	71	58	0.000852742452663237	0.00145554315195966	369.12935	49.7	7.98	7.62	7.05	6.58	8.56	7.27	7.21	6.18	8.36	7.05	7.1	6.96	8.5	7.27	7.15	7.35	9	7.35	7.1	6.58	8.93	7.5	7.15	6.75	7.69	6.18	7.05	6.51	7.94	6.28	7.21	6.63	7.88	5.35	7.21	4.3	6.63	6.7	7.05	6.79	4.66	6.18	7.01	6.75	6.92	6.75	6.42	6.58	6.51	6.58	6.79	6.51	6.75	6.88	6.51	4.66	6.58	6.42	6.34	6.84	6.63	6.84	6.96	6.34	6.88	6.84	6.84	5.22	6.84	6.7	6.42	6.79
-1.17194444444444	31	36	4.16408923205409e-08	1.14512453881487e-07	124.04031	125	6.79	4.18	4.18	5.08	6.34	4.66	4.18	4.3	6.18	3.93	4.66	4.18	6.18	4.07	4.5	4.38	6.79	4.5	4.66	3.82	6.92	4.66	4.66	3.39	6.07	4.5	4.38	4.38	5.7	4.5	5.35	3.82	5.7	4.5	4.5	4.07	6.42	5.94	5.22	5.22	5.22	5.94	5.08	6.28	6.51	6.18	5.53	5.7	6.18	5.94	5.83	5.53	6.51	5.94	6.34	6.18	6.28	5.83	6.88	6.07	6.51	6.07	6.34	6.28	5.7	5.83	6.34	6.63	6.7	6.07	5.35	6.28
0.573333333333332	8	59	0.00119446189719671	0.00200426657326228	133.06077	123.4	10.85	9.4	8.61	8.5	10.62	9.4	8.79	8.4	10.14	9.4	8.31	8.4	10.14	9.4	7.94	8.24	10.49	9.34	8.24	8.4	10.49	9.34	8.11	8.45	10.3	9.4	8.67	8.5	10.14	9.48	8.86	8.56	10.3	9.48	8.67	8.45	8.24	9	8.79	7.98	8.2	9	8.79	7.98	8.4	9.09	9	8.24	8.61	8.93	8.93	8.24	8.36	8.93	9	8.31	8.31	9.09	8.67	8.03	8.4	9.09	8.56	8.2	8.2	9.8	8.56	7.94	8.4	9.62	8.61	8.07
-0.12611111111111	34	93	0.63570765636114	0.67672105354573	162.1124	94	8.2	6.92	5.94	4.5	7.88	6.84	6.34	4.5	8.07	6.18	6.42	6.51	7.88	6.34	6.63	5.94	8.56	6.79	6.34	4.96	8.2	6.34	6.79	5.53	7.27	6.75	6.79	5.83	7.41	6.51	6.7	6.51	7.27	6.79	6.84	6.34	6.84	6.96	6.75	6.84	6.75	6.7	6.84	6.7	6.7	6.84	6.92	6.51	6.92	6.96	6.88	6.58	7.15	6.92	6.7	6.58	6.75	6.88	6.42	6.63	7.01	6.96	6.42	6.84	6.79	7.15	6.63	6.84	6.79	6.88	6.28	6.84
-0.182222222222222	41	86	0.392913079177674	0.452306916727788	457.11102	99.9	8.86	7.21	6.63	5.35	8.31	7.05	6.58	5.53	7.88	6.63	6.75	6.07	7.76	6.58	6.7	6.88	8.5	6.7	6.88	5.94	8.45	7.35	6.63	6.12	7.1	6.7	6.7	4.5	7.1	7.1	6.96	4.38	7.56	7.1	6.51	4.96	7.05	6.92	7.15	7.35	7.21	7.35	7.15	7.05	7.21	7.27	6.88	6.63	7.05	7.35	6.51	6.63	6.84	7.15	6.88	6.75	6.79	6.92	7.01	6.88	6.88	7.21	7.01	6.42	6.75	6.96	6.51	6.96	6.92	7.05	6.96	6.96
0.354722222222223	11	67	0.02074822186077	0.0306578203614362	147.11277	124.4	9.88	8.93	8.72	7.82	9.8	8.93	8.86	7.76	9.62	8.93	8.4	8.24	9.62	9.17	8.45	8.31	9.8	8.86	8.72	7.98	9.8	8.93	8.72	8.11	9.62	8.72	8.72	8.11	9.62	8.79	8.72	7.98	9.8	8.72	8.79	8.07	9.4	8.2	8.67	7.88	9.4	8.2	8.72	7.82	9.17	7.76	8.79	7.94	9.25	7.82	8.79	7.88	9.4	7.76	8.79	8.03	9.34	8.03	8.61	8.2	9.4	8.03	8.4	8.07	9.17	7.98	8.67	8.16	9.17	7.76	8.56	8.03
-0.99388888888889	29	27	2.50810992356968e-11	9.19640305308884e-11	258.10637	63.3	8.5	8.07	8.45	8.86	8.16	8.31	8.45	8.86	7.69	7.98	7.98	9.09	7.5	8.16	8.16	9.17	8.36	8.2	7.88	8.93	8.16	8.31	7.98	9	7.5	8.16	8.24	9	7.69	8.11	8.11	9	7.21	7.98	8.16	9	8.67	9.17	9.97	9.25	9.17	9.34	10.04	9.09	8.5	9	10.14	9.34	8.72	9.25	10.22	9.25	8.79	9.25	10.22	9.25	8.4	9.34	9.97	8.93	8.61	9.25	9.97	8.93	8.36	9.34	9.88	9.25	8.5	9.48	9.97	9.34
1.53027777777778	15	53	0.000139492425620504	0.000260561323328866	258.10637	63.3	5.35	8.31	8.93	9.34	4.66	8.11	9.09	9.4	3.82	8.11	8.86	9.55	5.08	8.2	8.72	9.4	4.96	8.24	8.79	9.4	4.82	8.11	8.86	9.34	3.66	7.94	8.79	9.55	3.93	8.16	9	9.4	3.39	8.16	9	9.55	5.35	6.84	5.35	6.51	6.18	6.51	5.22	5.53	6.42	6.28	6.58	6.79	6.34	5.83	6.75	6.92	6.28	5.22	6.58	7.15	6.34	5.22	5.35	6.58	5.83	6.18	6.28	6.51	5.94	6.28	6.58	6.92	5.53	5.22	6.92	6.58
-3.38722222222222	51	19	3.80321079938758e-16	1.98167299547037e-15	203.05242	59.5	7.88	6.34	6.42	4.07	7.5	6.96	6.28	4.38	5.22	7.21	3.82	4.07	3.93	6.79	4.07	4.18	6.34	6.58	4.5	7.05	6.18	6.42	4.5	6.92	8.11	7.35	3.82	5.35	8.2	7.41	2.5	6.34	8.16	7.01	3.14	5.22	8.45	9.4	10.3	9	8.31	9.25	10.3	9.17	8.2	9.48	10.3	9.17	7.94	9.48	10.38	9.09	7.82	9.55	10.3	6.63	8.36	9.62	10.49	9.25	8.5	9.8	10.62	9.34	8.4	9.88	9.72	8.93	8.2	9.8	9.8	8.93
-1.19055555555556	68	42	2.3719754062801e-06	5.59108488623167e-06	153.05442	152.2	5.53	8.16	5.35	7.1	5.22	7.98	6.07	6.92	5.53	8.03	6.58	6.84	5.22	7.94	6.58	6.79	6.07	8.16	6.51	6.63	5.94	8.07	6.75	6.51	4.66	7.88	6.63	7.05	4.82	7.88	6.28	6.88	4.82	7.94	6.7	7.15	9.09	7.76	8.31	6.07	8.86	7.76	8.45	6.34	9.25	7.94	8.56	6.07	9.4	7.62	8.4	6.18	9.34	7.62	8.61	5.94	8.86	7.94	8.2	6.28	8.93	7.94	7.98	5.83	8.93	7.88	8.03	6.18	9	7.98	8.16	6.34
