"mz_cluster_label"	"mz"	"time"	"Subject.13.TP.2"	"Subject.12.TP.2"	"Subject.14.TP.2"	"Subject.10.TP.2"	"Subject.15.TP.2"	"Subject.11.TP.2"	"Subject.17.TP.2"	"Subject.18.TP.2"	"Subject.16.TP.2"	"Subject.15.TP.1"	"Subject.14.TP.1"	"Subject.10.TP.1"	"Subject.11.TP.1"	"Subject.17.TP.1"	"Subject.18.TP.1"	"Subject.12.TP.1"	"Subject.13.TP.1"	"Subject.16.TP.1"	"Subject.10.TP.0"	"Subject.11.TP.0"	"Subject.13.TP.0"	"Subject.15.TP.0"	"Subject.18.TP.0"	"Subject.17.TP.0"	"Subject.16.TP.0"	"Subject.12.TP.0"	"Subject.14.TP.0"	"Subject.14.TP.3"	"Subject.17.TP.3"	"Subject.18.TP.3"	"Subject.12.TP.3"	"Subject.13.TP.3"	"Subject.10.TP.3"	"Subject.11.TP.3"	"Subject.15.TP.3"	"Subject.16.TP.3"	"Subject.5.TP.2"	"Subject.6.TP.2"	"Subject.3.TP.2"	"Subject.4.TP.2"	"Subject.8.TP.2"	"Subject.7.TP.2"	"Subject.9.TP.2"	"Subject.1.TP.2"	"Subject.2.TP.2"	"Subject.1.TP.1"	"Subject.6.TP.1"	"Subject.3.TP.1"	"Subject.4.TP.1"	"Subject.2.TP.1"	"Subject.5.TP.1"	"Subject.8.TP.1"	"Subject.7.TP.1"	"Subject.9.TP.1"	"Subject.9.TP.3"	"Subject.1.TP.3"	"Subject.2.TP.3"	"Subject.3.TP.3"	"Subject.4.TP.3"	"Subject.5.TP.3"	"Subject.6.TP.3"	"Subject.7.TP.3"	"Subject.8.TP.3"	"Subject.3.TP.0"	"Subject.4.TP.0"	"Subject.5.TP.0"	"Subject.6.TP.0"	"Subject.1.TP.0"	"Subject.2.TP.0"	"Subject.7.TP.0"	"Subject.8.TP.0"	"Subject.9.TP.0"
7	353.13496	72.1	9.88	9.72	9.8	9.55	9.72	9.8	9.48	9.4	9.72	9.17	9.17	9.09	9.09	9.55	9.09	9.25	9.09	9.17	8.5	8.93	8.93	8.5	8.72	8.61	8.36	8.86	8.86	8.61	8.67	8.67	8.4	8.56	8.4	8.4	8.45	8.45	8.67	8.79	8.72	8.56	8.67	8.86	9.09	8.86	9	9.72	9.4	9.72	9.72	9.62	9.55	9.55	9.62	9.62	9.72	9.48	9.72	9.62	9.62	9.62	9.55	9.72	9.72	9.34	9.17	9.48	9.25	9.55	9.48	8.72	8.86	8.86
6	153.03966	124.2	2.5	2.5	2.5	3.39	2.5	2.5	2.5	4.66	1.76	2.5	2.5	2.5	2.5	2.5	2.5	4.5	2.5	2.5	2.5	1.76	2.5	1.76	2.5	4.5	2.5	2.5	2.5	4.96	2.5	1.76	4.82	2.5	2.5	2.5	2.5	2.5	7.69	7.62	7.35	7.21	7.15	7.21	7.35	6.88	7.27	10.14	9.97	10.14	10.22	10.04	9.97	9.97	9.88	9.97	8.36	7.15	8.11	7.56	7.62	8.2	8.2	8.36	8.4	8.31	8.36	7.76	7.56	7.5	7.56	9	8.93	9
6	175.11883	124.2	7.69	7.21	8.11	6.42	7.1	6.07	5.83	5.83	6.7	6.07	6.84	6.75	6.79	6.88	7.01	6.58	6.28	5.22	6.58	6.51	6.42	5.35	6.58	5.22	5.53	5.35	5.22	7.69	5.7	5.22	7.62	7.62	6.75	6.58	7.35	7.27	7.76	7.88	7.82	7.82	7.69	7.76	7.69	7.88	7.82	8.79	8.72	8.86	9	8.79	8.67	9.17	8.86	8.93	9.17	9	8.93	8.61	8.67	8.67	8.72	9.09	9.17	8.79	8.86	8.61	8.67	9	9	9.4	9.09	9.34
6	90.05544	114.3	7.98	8.07	7.98	6.18	6.84	6.75	6.28	5.94	5.22	6.28	6.79	6.51	6.75	7.41	7.1	5.7	5.53	6.34	6.7	5.94	6.28	6.07	6.18	6.51	6.34	6.07	6.58	7.62	6.34	6.18	7.5	7.5	6.63	6.63	5.83	6.79	7.94	8.03	8.03	8.11	8.24	8.03	8.03	8.36	8.31	8.56	8.67	8.61	8.67	8.4	8.56	8.36	8.2	8.24	8.56	8.72	8.72	8.45	8.61	8.72	8.61	8.67	8.79	7.35	7.27	7.35	7.15	7.27	7.35	8.36	8.4	8.24
6	500.30344	47.9	3.14	3.14	3.39	3.14	3.14	3.39	3.39	3.14	5.35	3.39	3.39	3.39	3.39	3.14	3.39	2.5	3.39	3.39	3.66	3.14	3.39	3.66	3.66	4.18	3.39	3.66	3.39	3.14	3.39	2.5	1.76	3.14	3.39	3.39	3.39	3.39	8.2	8.2	8.45	8.2	8.07	8.11	8.24	8.31	8.36	9.09	8.79	9.17	8.93	9	8.93	9.25	9.17	9.09	9.48	9.4	9.34	9.17	9	9.25	9.25	9.4	9.34	9	9	8.86	8.72	8.72	8.93	9.97	9.97	9.97
6	255.06537	122.8	8.36	5.22	5.22	5.53	5.7	5.53	5.35	5.7	8.93	8.45	7.88	7.94	7.94	5.35	5.53	5.53	5.22	5.53	5.7	5.35	6.79	5.83	5.83	6.18	6.07	5.94	5.83	5.7	6.07	5.94	5.94	5.83	7.5	5.94	5.7	5.53	9.62	9.62	9.48	9.48	9.62	9.25	8.45	9.97	9.88	10.49	10.49	10.49	10.62	10.49	10.49	10.49	10.49	10.49	10.14	9.97	10.04	9.72	9.88	9.97	9.97	9.88	10.22	9.48	9.48	7.21	9.55	4.07	9.97	10.62	10.62	10.62
6	195.08766	374.8	3.93	3.93	4.18	4.07	3.93	4.07	4.18	4.07	3.66	4.07	4.18	4.07	4.18	4.07	4.07	3.93	3.93	4.07	4.3	4.07	4.82	4.3	4.07	3.82	4.3	4.07	4.3	4.18	4.18	3.82	3.66	3.93	4.18	4.18	4.18	4.18	9.09	9.09	9.17	9.17	8.93	9	8.93	9.34	9.48	7.69	7.62	7.27	7.15	7.56	7.69	7.21	7.69	7.62	7.5	7.69	7.56	7.35	7.15	7.35	7.35	7.69	7.62	7.94	8.16	7.05	7.21	8.16	8.4	9.88	9.72	9.48
6	180.06599	26.8	4.18	5.08	4.38	4.3	4.18	5.7	4.96	4.3	3.93	4.82	4.38	4.3	4.3	4.3	4.3	4.07	4.66	4.3	4.5	4.3	4.38	4.5	4.3	4.07	4.66	4.3	4.38	4.38	4.3	4.07	3.93	4.18	5.35	4.38	4.38	4.38	7.27	7.1	7.62	7.35	7.27	7.41	7.41	7.94	7.88	8.11	7.41	7.94	7.82	8.24	7.56	6.92	6.92	6.63	7.94	8.11	8.36	7.76	7.98	7.27	7.1	7.94	7.56	6.75	6.92	6.18	6.7	6.88	6.63	6.88	7.01	7.1
6	130.04993	122.3	3.66	4.38	3.93	3.82	3.66	3.82	3.93	3.82	4.38	3.82	3.93	3.93	3.93	3.82	3.82	3.66	5.35	3.82	4.07	3.82	4.07	4.07	5.7	3.39	4.07	4.82	3.93	3.82	3.82	3.39	3.14	3.66	3.93	3.93	3.82	5.7	8.61	8.61	7.69	7.76	7.82	7.94	7.82	8.07	8.03	8.86	9	9	8.79	8.72	9	10.14	10.14	10.14	8.61	7.05	7.01	7.5	7.56	8.61	8.56	8.56	8.5	7.27	7.1	7.41	6.96	7.56	7.82	9.72	9.8	9.72
6	156.07674	126.3	4.3	5.7	4.5	5.08	4.38	4.38	4.5	4.5	4.66	4.38	5.08	4.5	4.5	4.5	4.5	4.3	4.3	4.5	4.82	4.5	4.66	4.82	4.5	5.35	5.22	4.5	4.5	4.5	4.5	4.66	4.18	4.38	4.5	4.66	4.66	4.66	7.5	7.5	7.05	6.84	6.88	7.01	7.01	5.83	5.35	9.88	9.72	10.04	10.04	9.97	9.88	9.88	9.97	9.88	8.2	7.5	7.65	7.01	7.27	7.5	7.69	8.2	8.03	7.56	8.07	7.88	8.03	7.05	7.27	8.56	8.56	8.93
