"mz_cluster_label"	"mz"	"time"	"Subject.13.TP.2"	"Subject.12.TP.2"	"Subject.14.TP.2"	"Subject.10.TP.2"	"Subject.15.TP.2"	"Subject.11.TP.2"	"Subject.17.TP.2"	"Subject.18.TP.2"	"Subject.16.TP.2"	"Subject.15.TP.1"	"Subject.14.TP.1"	"Subject.10.TP.1"	"Subject.11.TP.1"	"Subject.17.TP.1"	"Subject.18.TP.1"	"Subject.12.TP.1"	"Subject.13.TP.1"	"Subject.16.TP.1"	"Subject.10.TP.0"	"Subject.11.TP.0"	"Subject.13.TP.0"	"Subject.15.TP.0"	"Subject.18.TP.0"	"Subject.17.TP.0"	"Subject.16.TP.0"	"Subject.12.TP.0"	"Subject.14.TP.0"	"Subject.14.TP.3"	"Subject.17.TP.3"	"Subject.18.TP.3"	"Subject.12.TP.3"	"Subject.13.TP.3"	"Subject.10.TP.3"	"Subject.11.TP.3"	"Subject.15.TP.3"	"Subject.16.TP.3"	"Subject.5.TP.2"	"Subject.6.TP.2"	"Subject.3.TP.2"	"Subject.4.TP.2"	"Subject.8.TP.2"	"Subject.7.TP.2"	"Subject.9.TP.2"	"Subject.1.TP.2"	"Subject.2.TP.2"	"Subject.1.TP.1"	"Subject.6.TP.1"	"Subject.3.TP.1"	"Subject.4.TP.1"	"Subject.2.TP.1"	"Subject.5.TP.1"	"Subject.8.TP.1"	"Subject.7.TP.1"	"Subject.9.TP.1"	"Subject.9.TP.3"	"Subject.1.TP.3"	"Subject.2.TP.3"	"Subject.3.TP.3"	"Subject.4.TP.3"	"Subject.5.TP.3"	"Subject.6.TP.3"	"Subject.7.TP.3"	"Subject.8.TP.3"	"Subject.3.TP.0"	"Subject.4.TP.0"	"Subject.5.TP.0"	"Subject.6.TP.0"	"Subject.1.TP.0"	"Subject.2.TP.0"	"Subject.7.TP.0"	"Subject.8.TP.0"	"Subject.9.TP.0"
3	133.06077	123.4	8.93	9	9	8.79	8.67	8.79	8.56	8.61	8.56	9.09	8.93	9	9	9.8	9.62	9.09	8.93	9.09	8.24	8.2	8.61	8.31	8.4	8.2	8.4	8.4	8.36	8.31	7.94	8.07	8.24	8.24	7.98	7.98	8.03	8.2	8.24	8.11	8.31	7.94	8.86	8.67	8.67	8.61	8.79	9.4	9.34	9.4	9.4	9.4	9.34	9.48	9.4	9.48	8.45	8.5	8.4	8.4	8.24	8.4	8.45	8.5	8.56	10.14	10.14	10.49	10.49	10.85	10.62	10.3	10.14	10.3
3	137.04564	76.3	8.61	8.67	8.67	8.72	8.31	8.61	8.36	8.45	8.5	8.67	8.61	8.79	8.79	8.72	8.72	8.79	8.61	8.67	8.2	8.67	8.45	8.11	8.36	8.31	8.2	8.67	8.5	8.07	8.11	8.16	8.03	7.98	8.07	7.94	7.98	7.98	8.56	8.56	8.61	8.61	8.61	8.61	8.72	8.79	8.93	9.25	9.25	9.25	9.34	9.17	9.4	9.4	9.34	9.34	8.79	8.56	8.5	8.67	8.45	8.56	8.67	8.61	8.45	9.88	9.88	10.3	10.3	10.22	10.04	9.8	9.88	9.88
3	123.0445	125	9.55	9.88	9.62	9.88	10.04	9.97	10.04	10.3	10.04	10.3	10.49	10.22	10.22	10.3	10.3	10.3	10.38	10.3	10.38	10.22	10.22	10.3	10.3	10.3	10.3	10.3	10.22	9.97	10.22	10.3	9.8	9.8	9.97	9.88	10.14	10.14	10.22	10.22	10.04	10.04	10.38	10.3	10.38	10.38	10.38	10.22	10.3	10.22	10.3	10.3	10.3	10.38	10.38	10.3	10.38	10.14	10.14	10.38	10.22	10.22	10.22	10.22	10.49	10.38	10.49	10.62	10.62	10.49	10.49	10.38	10.38	10.38
4	137.05966	112.2	10.14	9.97	10.14	10.22	10.62	10.22	9.55	9.62	10.49	9.88	9.34	9.55	9.48	9.72	9.72	9.55	9.34	9.88	9.17	8.56	8.07	8.56	8.24	8.45	8.31	7.69	8.2	9.09	8.86	9	9	9	9.17	9	9.62	9.48	3.82	3.66	3.66	3.39	3.66	3.93	3.82	6.51	6.51	6.79	4.3	6.51	6.96	5.94	6.75	7.5	7.05	7.15	4.18	3.66	4.07	3.82	3.93	6.07	6.7	5.08	4.07	4.38	4.38	4.5	5.08	7.21	7.21	8.03	8.11	8.03
4	203.05242	59.5	10.38	10.3	10.3	10.3	10.49	10.3	9.72	9.8	10.62	9.62	9.55	9.4	9.25	9.88	9.8	9.48	9.48	9.8	8.45	8.31	7.94	8.36	8.2	8.4	8.5	8.2	7.82	6.63	8.93	8.93	9.17	9.09	9	9.17	9.25	9.34	4.5	4.5	3.82	4.07	2.5	3.82	3.14	6.42	6.28	6.34	6.42	7.21	6.79	6.96	6.58	7.41	7.35	7.01	5.22	4.07	4.38	4.07	4.18	7.05	6.92	5.35	6.34	5.22	3.93	6.34	6.18	7.88	7.5	8.11	8.2	8.16
4	258.1096	129.2	11.54	11.54	11.54	11.27	11.54	11.12	10.85	10.62	11.54	10.85	10.3	10.62	10.62	10.49	10.85	10.49	10.3	10.85	9.62	9.72	9.48	9.62	9.4	9.4	9.62	9.55	9.55	10.04	9.72	9.8	9.97	10.14	9.62	9.62	10.49	10.62	6.58	6.28	3.14	4.38	5.7	4.66	4.66	7.62	7.69	3.93	8.2	8.4	8.36	8.2	8.31	8.72	8.61	8.61	3.14	6.18	6.63	6.88	6.51	7.88	8.03	7.1	7.21	5.94	5.83	6.75	6.42	9.09	9.09	9.17	9.17	9.4
4	377.14538	60.5	8.45	8.5	8.45	8.5	8.86	8.67	7.88	7.5	8.86	7.69	7.5	7.35	7.5	7.69	7.21	7.69	7.69	7.88	6.75	6.88	6.58	7.05	6.75	6.92	6.75	6.63	6.63	7.56	7.5	7.62	7.69	7.56	7.69	7.62	8.11	7.94	3.66	2.5	4.07	3.14	3.82	3.14	3.66	3.39	3.93	3.66	3.93	4.38	3.93	1.76	3.82	3.93	4.18	3.93	3.66	2.5	2.5	3.39	2.5	4.18	4.5	2.5	3.14	3.66	3.82	3.82	4.18	4.18	4.38	5.08	5.22	5.83
4	363.21618	42	7.1	7.01	7.27	7.62	8.03	7.69	7.01	7.1	8.16	6.84	6.51	6.88	6.58	6.58	6.63	6.63	6.88	6.79	6.28	6.28	3.66	6.42	6.42	6.63	3.66	6.34	6.07	7.35	6.88	7.01	7.21	7.1	6.88	7.15	7.5	7.35	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	3.14	2.5	1.76	1.76	1.76	2.5	1.76	2.5	2.5	2.5	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	2.5	3.66	3.14	3.14	3.14	2.5	4.18	3.66	4.18
4	258.10637	63.3	10.22	10.14	10.22	9.97	9.97	10.04	9.88	9.97	9.97	9.34	9.25	9.17	9.34	9.34	9.48	9	9.25	9.25	8.67	9.17	8.72	8.4	8.5	8.36	8.61	8.5	8.79	9.25	9.25	9.34	9.34	9.25	9.25	9.09	8.93	8.93	7.88	7.98	7.98	8.16	8.11	8.24	8.16	8.45	8.45	8.07	8.31	7.98	8.16	8.31	8.2	8.11	8.16	7.98	9	8.86	8.86	9.09	9.17	8.93	9	9	9	7.69	7.5	8.36	8.16	8.5	8.16	7.5	7.69	7.21
4	204.12302	70.5	7.5	7.5	7.62	7.41	7.5	7.27	7.41	7.21	7.41	7.98	7.82	8.03	7.98	8.11	8.11	7.82	7.88	8.07	6.18	5.83	6.88	6.7	6.88	6.96	7.05	6.96	6.92	7.05	6.7	7.21	7.01	6.88	7.27	7.56	7.21	7.15	6.42	6.42	6.79	6.88	6.42	6.84	6.75	6.34	6.42	7.27	6.79	6.84	6.92	7.21	6.34	6.75	6.28	6.42	5.94	6.51	6.7	6.92	6.7	6.7	5.83	6.18	5.83	6.34	6.42	6.88	6.84	5.83	5.35	6.18	5.83	5.94
4	265.11181	92.3	7.15	7.56	7.21	7.5	6.92	7.35	7.5	7.41	6.92	7.56	7.56	7.82	7.88	7.76	7.69	7.56	7.41	7.69	7.76	7.76	7.41	7.56	7.82	7.82	7.62	7.76	7.62	7.98	8.07	7.98	7.98	8.07	8.03	8.07	7.94	7.76	7.21	7.27	7.76	7.69	7.5	7.5	7.15	7.27	6.96	6.51	5.83	6.58	5.83	6.51	6.28	6.07	5.94	5.94	6.75	7.35	7.27	7.05	6.84	6.34	6.88	6.92	6.58	7.1	7.01	6.96	6.79	6.28	6.51	6.28	5.94	5.53
4	138.05501	18	7.01	7.15	5.83	7.1	7.35	7.5	7.35	7.62	7.27	7.5	7.35	7.69	7.56	7.5	7.56	7.35	7.27	7.56	7.69	7.69	7.5	7.5	7.76	7.62	7.41	7.5	7.56	7.94	7.82	7.56	7.88	7.94	7.94	8.03	7.82	7.88	7.35	7.35	7.41	7.41	7.41	7.35	7.56	7.21	6.92	5.7	3.66	5.53	4.96	5.22	5.22	5.22	5.35	5.7	6.96	6.92	7.21	6.7	7.05	6.28	6.79	6.75	6.84	7.01	6.88	6.42	6.88	6.58	6.84	5.94	6.42	6.28
4	206.08117	107.7	7.82	7.41	7.35	8.03	7.82	8.11	7.94	7.98	7.94	8.07	8.03	8.16	8.24	8.2	8.16	8.16	8.31	8.2	8.03	8.45	8.2	8.16	8.16	8.16	8.11	8.16	8.07	8.36	8.36	8.36	8.31	8.31	8.5	8.45	8.31	8.31	7.62	7.69	7.56	7.5	7.88	7.69	7.76	7.41	7.5	6.07	6.63	6.28	6.28	6.18	7.01	7.27	7.15	7.21	8.03	7.27	7.35	7.69	7.94	8.07	7.76	7.88	8.11	7.15	7.62	7.82	7.62	7.69	7.01	7.01	7.05	7.01
4	400.34156	112.9	6.07	5.83	6.18	6.63	5.83	6.28	6.07	6.34	5.7	5.94	5.7	5.7	5.83	5.7	5.7	6.07	5.7	5.94	5.83	6.34	5.7	5.94	6.07	6.34	5.7	5.53	4.18	6.28	7.01	6.92	6.34	6.28	6.28	6.51	6.42	6.18	4.82	4.38	4.82	5.22	4.18	4.96	5.94	4.07	4.82	3.39	2.5	3.39	3.14	3.14	2.5	1.76	1.76	3.14	3.93	4.18	3.39	3.14	3.39	3.39	3.14	3.39	3.39	3.39	2.5	3.66	3.39	3.66	3.39	2.5	2.5	3.14
4	257.24728	78.7	6.42	6.63	6.75	6.92	6.75	6.58	7.05	7.01	6.07	6.34	6.18	6.42	6.28	6.34	6.28	6.42	6.79	6.75	6.34	6.07	5.94	6.18	6.34	6.42	6.42	6.18	6.34	6.84	7.35	7.15	6.7	6.7	6.58	6.79	7.05	6.75	6.07	5.35	6.07	6.42	6.18	6.34	6.28	5.08	4.66	3.82	3.82	3.66	3.66	3.66	3.93	3.66	3.39	3.82	5.35	3.93	4.18	5.22	3.82	3.93	3.93	4.18	5.22	4.07	4.07	4.07	3.93	3.93	3.14	3.39	3.39	3.66
4	195.0875	1.4	5.7	5.94	5.53	5.94	5.94	6.34	5.94	6.18	5.94	5.7	5.53	5.53	4.66	5.94	5.83	5.94	6.07	5.83	6.07	6.42	5.53	5.7	5.94	6.28	6.18	5.7	5.94	6.7	6.58	6.7	6.96	6.79	6.7	6.92	7.1	7.01	5.94	5.53	6.28	5.83	4.82	5.94	6.07	4.66	4.96	1.76	3.14	2.5	2.5	3.82	3.14	3.14	3.14	3.39	3.82	3.82	3.82	3.66	3.66	3.66	3.82	3.66	3.66	4.18	4.3	3.39	3.82	3.82	3.66	3.14	3.14	2.5
1	195.08769	172.6	5.53	6.18	6.07	6.28	6.07	6.51	5.08	6.07	5.83	6.51	6.42	6.07	6.34	6.42	6.42	7.01	6.42	6.51	6.51	6.58	6.07	6.51	6.51	5.83	6.58	6.58	6.42	6.42	6.51	6.51	6.18	6.42	5.53	6.42	6.34	5.35	5.7	5.22	5.7	6.18	4.96	5.83	5.53	5.22	4.3	5.35	5.7	5.08	5.22	5.08	5.35	4.66	5.53	5.83	4.82	3.14	4.66	4.66	4.07	4.3	4.18	3.82	3.93	6.88	6.96	7.15	7.05	7.76	6.96	6.63	6.63	6.63
1	193.09709	101.9	7.27	7.76	7.88	7.98	7.41	8.03	7.27	7.35	7.62	7.35	7.41	7.62	7.69	8.03	8.03	7.41	7.76	7.62	7.56	7.41	7.21	7.21	7.35	6.84	6.79	7.27	7.41	7.01	7.27	7.27	6.88	7.05	7.41	7.5	7.27	7.1	6.92	6.96	6.92	6.92	6.92	6.88	7.05	7.01	7.05	7.35	6.28	6.88	7.5	6.34	6.42	6.42	6.34	6.34	6.84	6.84	6.79	6.63	6.96	5.35	4.38	6.34	6.75	8.11	8.03	8.2	8.4	7.15	7.05	7.21	7.27	6.92
1	124.04031	125	5.83	5.53	6.34	5.22	6.88	5.08	6.34	5.35	6.34	5.83	5.94	5.94	5.94	5.83	6.07	6.18	5.94	6.07	6.42	5.22	6.18	6.28	6.7	5.7	6.51	6.51	6.51	6.18	6.63	6.28	5.7	5.53	5.22	6.28	6.07	6.28	4.66	4.66	4.66	4.5	5.35	4.38	4.5	4.18	4.18	4.18	4.66	3.93	4.07	4.66	4.5	4.5	4.5	4.5	4.07	5.08	4.3	4.18	4.38	3.82	3.39	4.38	3.82	6.18	6.18	6.79	6.92	6.79	6.34	6.07	5.7	5.7
1	241.03079	130.8	6.7	6.75	6.96	5.83	6.7	6.63	6.7	6.7	6.84	6.18	6.58	6.63	6.84	6.75	6.75	6.7	6.63	6.63	6.79	6.7	6.63	6.96	6.96	7.01	6.92	7.01	6.88	6.92	6.79	7.1	7.1	6.96	6.42	6.84	6.96	6.88	6.18	6.34	6.18	6.34	6.79	6.07	6.42	6.07	5.7	4.66	5.94	5.35	6.18	5.7	5.53	5.53	5.7	4.82	5.83	6.28	6.88	5.83	5.7	6.75	5.94	4.3	6.42	6.84	6.79	7.27	7.1	6.96	6.7	6.34	6.58	6.58
1	181.07197	146.7	8.2	7.94	7.94	8.36	8.4	7.94	8.45	8.4	8.36	8.56	8.31	8.4	8.03	8.5	8.5	8.5	8.4	8.45	8.79	8.36	8.5	8.79	8.79	9	8.79	8.61	8.72	8.4	8.61	8.5	8.56	8.45	8.31	8.31	8.56	8.4	8.03	7.94	7.94	8.03	7.94	7.98	7.88	8.4	8.2	7.56	7.69	7.88	7.69	7.62	7.76	7.82	7.5	7.82	8.16	8.2	7.94	8.36	8.2	8.31	7.98	8.16	8.31	8.4	8.72	8.67	8.79	6.7	8.5	7.94	8.03	8.11
2	297.97307	125	9.34	9.4	9.4	9.48	9.09	9.4	9.34	9.34	9.09	9.8	9.4	9.72	9.55	9.48	9.34	9.4	9.4	9.72	9.8	9.8	9.88	9.72	9.97	9.97	9.72	9.88	9.88	9.34	9.4	9.48	9.48	9.48	9.55	9.48	9	9	9.55	9.4	9.72	9.72	9.34	9.48	9.4	9.72	9.72	9.34	9.09	9.09	9.09	9.34	9.09	8.86	9.25	8.86	9.34	9.62	9.48	9.4	9.48	9.48	9.48	9.34	9.48	9.55	9.55	9.55	9.4	9.48	9.4	8.93	8.79	8.72
2	104.07101	114.8	6.84	6.96	7.05	6.79	7.21	7.05	6.42	6.58	7.1	6.58	6.28	6.28	6.42	6.51	6.51	6.51	6.7	6.88	7.41	7.35	7.15	6.84	7.15	7.15	6.84	6.88	7.01	7.21	7.41	7.41	7.27	7.15	7.05	7.01	6.18	7.21	6.7	6.51	6.88	6.28	6.84	6.58	6.34	6.28	6.63	5.22	5.53	4.5	4.66	4.96	5.08	5.35	4.96	4.66	7.76	7.76	7.65	8.03	7.69	7.62	7.5	6.88	7.82	6.63	6.58	7.1	7.01	6.75	6.42	6.75	6.18	6.51
2	190.08619	103.5	6.96	7.27	7.1	7.21	7.69	7.21	8.07	7.88	7.76	7.76	8.2	7.88	7.82	8.07	7.88	8.11	8.11	7.82	7.82	7.94	8.11	8.03	8.31	8.11	8.03	7.94	7.94	8.5	8.45	8.4	8.36	8.36	8.36	8.36	8.4	8.5	8.07	8.07	8.2	8.24	7.98	7.88	7.98	7.76	7.76	6.58	6.96	7.01	6.51	6.92	6.96	7.05	6.88	6.96	7.69	7.98	7.82	7.88	7.82	7.69	7.82	7.82	7.76	8.24	8.2	7.98	7.41	6.84	6.92	6.79	6.7	6.75
2	123.05525	167.8	6.34	6.34	6.28	6.51	7.15	6.7	7.21	7.27	6.75	7.27	7.69	7.41	7.15	7.05	7.27	7.62	7.56	7.27	7.62	7.5	7.62	7.69	7.41	7.76	7.69	7.62	7.76	8.24	7.98	8.11	8.16	8.2	8.2	8.2	8.16	8.24	7.98	7.76	7.88	7.88	7.76	7.82	7.94	7.56	7.62	6.28	6.18	5.7	5.94	5.83	5.7	6.34	6.84	6.51	6.92	7.21	7.1	7.41	7.21	7.01	6.84	6.84	7.01	7.76	7.56	6.92	7.5	7.01	6.79	6.58	6.34	6.34
2	169.04828	128.9	6.18	6.28	5.7	5.7	6.28	5.94	6.75	6.84	6.18	6.96	6.75	6.58	6.96	6.63	6.58	6.79	7.21	7.15	7.15	7.27	7.1	7.1	7.21	7.41	7.5	7.1	7.21	7.88	7.76	7.76	7.76	7.76	7.82	7.76	7.56	7.5	6.96	7.01	7.15	7.27	7.05	7.27	7.1	5.53	5.94	4.38	4.38	3.82	4.3	4.18	3.66	4.38	4.82	4.18	4.38	6.07	5.7	5.94	6.18	5.08	5.22	4.82	5.35	6.28	6.51	5.83	5.22	4.5	4.96	4.96	4.66	4.96
2	122.02708	124.2	7.05	6.51	6.92	6.7	6.58	6.92	7.1	7.15	6.88	7.21	7.27	7.56	7.41	7.1	7.35	7.5	7.5	7.41	7.5	7.62	7.76	7.41	7.62	7.69	7.35	7.56	7.5	8.11	7.88	7.82	8.07	8.03	8.16	8.24	7.76	8.03	7.56	7.56	7.5	7.62	7.56	7.56	7.5	7.1	7.15	5.94	6.07	5.83	5.53	6.28	6.07	5.7	5.22	6.07	6.63	6.7	6.96	7.27	7.01	7.1	6.96	6.58	5.08	6.96	6.7	6.7	6.75	6.07	5.7	5.35	6.07	5.22
2	389.37781	89.9	5.94	6.07	5.94	6.58	6.18	6.18	6.79	6.51	6.51	7.01	6.96	6.79	7.05	6.7	6.96	7.15	7.1	6.42	7.21	6.84	7.27	7.15	7.56	7.35	7.56	7.35	7.27	7.82	7.69	7.88	7.82	7.69	7.76	7.88	7.88	7.82	7.15	7.21	7.21	7.1	7.1	7.15	7.27	6.92	6.84	4.3	4.07	4.3	4.5	4.3	4.82	5.08	4.3	5.53	6.07	6.96	6.75	6.79	6.58	6.84	6.58	6.28	6.79	6.42	5.94	5.7	6.07	5.08	5.94	5.53	5.35	5.35
2	181.04836	126.5	7.94	7.62	7.76	7.76	7.88	8.16	8.31	8.36	7.69	8.2	8.16	8.31	8.11	8.31	8.36	8.2	8.2	8.11	8.16	8.11	8.36	8.24	8.56	8.56	8.24	8.36	8.45	8.45	8.56	8.61	8.45	8.4	8.45	8.5	8.61	8.36	8.16	8.31	8.5	8.5	8.45	8.5	8.5	8.03	7.98	7.5	7.27	7.76	7.21	7.69	7.21	7.69	7.41	7.41	7.82	8.07	8.24	7.98	7.88	7.76	7.56	7.76	7.41	8.2	8.4	8.16	7.76	7.35	7.94	7.15	6.96	7.05
2	220.1183	48	8.24	8.31	8.03	8.24	8.56	8.07	8.5	8.5	8.2	8.4	8.67	8.5	8.45	8.45	8.45	8.61	8.56	8.5	8.31	8.5	8.79	8.93	8.93	8.79	8.67	9	8.93	8.93	8.72	8.79	8.86	8.86	8.86	8.72	8.79	8.79	8.5	8.5	8.79	8.79	8.5	8.56	8.61	8.56	8.61	7.82	7.88	7.62	7.88	8.07	7.82	7.98	7.82	7.88	8.4	8.67	8.67	8.72	8.56	8.45	8.36	8.4	8.24	8.67	8.61	8.79	8.56	8.45	8.24	7.98	7.88	8.07
2	181.07191	254	7.76	7.88	7.5	7.27	7.76	7.41	7.82	7.82	7.35	8.24	7.98	8.07	8.16	7.82	7.94	7.98	8.03	7.98	7.94	7.98	8.03	7.82	8.07	7.98	7.88	7.88	7.88	8.56	8.31	8.45	8.61	8.5	8.56	8.56	8.36	8.56	8.31	8.45	8.56	8.86	8.03	8.07	8.07	8.11	7.94	7.01	6.92	6.42	6.42	7.1	6.92	7.01	7.21	6.75	7.62	8.03	8.07	8.2	8.11	7.94	7.88	8.07	7.69	7.62	7.82	7.5	7.35	6.51	6.58	6.7	6.84	6.79
2	119.03401	115.4	8.16	8.36	8.24	7.82	8.5	8.31	8.72	8.72	8.72	8.61	8.72	8.45	8.61	8.86	8.67	8.72	8.72	8.56	8.56	9	9.09	9.09	9.09	9.09	9.17	8.93	9	9.17	9.17	9.09	9.09	9.17	9.09	9.25	9.09	9.17	8.93	8.93	9	9	8.79	8.93	8.86	8.5	8.4	8.2	8.03	7.82	8.03	7.76	7.94	8.45	8.31	8.36	8.5	8.36	8.61	8.79	8.72	8.86	8.79	8.79	8.61	8.56	8.45	8.11	7.94	8.56	8.07	8.16	8.24	8.2
2	248.03152	103.7	7.21	7.98	7.82	7.94	8.24	7.56	8.2	8.11	8.11	8.16	8.36	8.24	8.36	8.4	8.24	8.36	8.36	8.4	8.07	8.16	8.67	8.72	8.67	8.72	8.72	8.79	8.31	8.86	8.79	8.72	8.5	8.67	8.61	8.67	8.72	8.72	8.36	8.24	8.24	8.36	8.31	8.36	8.36	8.16	8.24	7.41	7.82	7.5	7.41	7.35	7.5	7.62	7.62	7.69	8.24	8.24	8.16	8.11	8.36	8.24	8.24	8.24	8.16	8.5	8.24	8.07	8.07	7.82	7.76	7.76	7.5	7.5
2	190.0862	104.6	8.72	8.72	8.72	8.93	9.34	9	9.17	9.09	9.34	9.48	9.48	9.48	9.72	9.17	9.17	9.34	9.55	9.48	9.88	9.88	9.72	9.88	9.72	9.72	9.88	9.8	9.8	9.62	9.62	9.62	9.62	9.55	10.22	9.72	9.55	9.62	9.48	9.55	9.25	9.25	9.55	9.55	9.55	9.4	9.17	8.4	8.86	8.5	8.5	8.56	8.72	9.09	8.79	8.79	9.4	9.09	9.17	9.48	9.55	9.34	9.4	9.48	9.62	9.4	9.25	9.4	9.48	9.34	9.17	8.79	8.72	8.67
2	169.0971	103.1	8.31	8.03	8.4	8.45	6.63	8.2	8.24	8.31	6.63	8.36	8.4	8.36	8.5	8.36	8.4	8.07	8.07	8.16	8.4	8.61	8.86	8.45	8.61	8.86	8.45	8.72	8.67	8.67	8.5	8.56	8.79	8.79	8.72	8.61	8.5	8.61	8.4	8.4	8.67	8.67	8.4	8.4	8.2	7.82	8.07	8.03	7.76	7.69	7.1	7.94	7.62	7.76	7.56	7.5	7.56	8.16	8.03	7.82	8.07	7.82	7.94	7.41	7.5	8.86	8.67	7.69	7.98	8.24	7.98	7.82	7.35	7.69
2	380.25545	60.5	11.27	11.27	11.27	11.12	11.27	11.27	11.79	11.79	11.27	11.79	11.79	11.79	11.79	11.79	11.79	11.79	11.79	11.79	11.79	11.54	11.79	11.79	11.79	11.79	11.79	11.79	11.79	12.01	12.01	12.01	12.01	12.01	12.01	11.79	12.01	12.16	11.54	11.79	11.54	11.54	11.54	11.54	11.54	11.54	11.79	11.12	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.79	11.79	11.79	11.79	11.79	11.54	11.54	11.79	11.79	11.79	11.79	11.54	11.27	11.54	11.54	11.54
