"Subject.1.TP.0"	"Subject.1.TP.1"	"Subject.1.TP.2"	"Subject.1.TP.3"	"Subject.2.TP.0"	"Subject.2.TP.1"	"Subject.2.TP.2"	"Subject.2.TP.3"	"Subject.3.TP.0"	"Subject.3.TP.1"	"Subject.3.TP.2"	"Subject.3.TP.3"	"Subject.4.TP.0"	"Subject.4.TP.1"	"Subject.4.TP.2"	"Subject.4.TP.3"	"Subject.5.TP.0"	"Subject.5.TP.1"	"Subject.5.TP.2"	"Subject.5.TP.3"	"Subject.6.TP.0"	"Subject.6.TP.1"	"Subject.6.TP.2"	"Subject.6.TP.3"	"Subject.7.TP.0"	"Subject.7.TP.1"	"Subject.7.TP.2"	"Subject.7.TP.3"	"Subject.8.TP.0"	"Subject.8.TP.1"	"Subject.8.TP.2"	"Subject.8.TP.3"	"Subject.9.TP.0"	"Subject.9.TP.1"	"Subject.9.TP.2"	"Subject.9.TP.3"	"Subject.10.TP.0"	"Subject.10.TP.1"	"Subject.10.TP.2"	"Subject.10.TP.3"	"Subject.11.TP.0"	"Subject.11.TP.1"	"Subject.11.TP.2"	"Subject.11.TP.3"	"Subject.12.TP.0"	"Subject.12.TP.1"	"Subject.12.TP.2"	"Subject.12.TP.3"	"Subject.13.TP.0"	"Subject.13.TP.1"	"Subject.13.TP.2"	"Subject.13.TP.3"	"Subject.14.TP.0"	"Subject.14.TP.1"	"Subject.14.TP.2"	"Subject.14.TP.3"	"Subject.15.TP.0"	"Subject.15.TP.1"	"Subject.15.TP.2"	"Subject.15.TP.3"	"Subject.16.TP.0"	"Subject.16.TP.1"	"Subject.16.TP.2"	"Subject.16.TP.3"	"Subject.17.TP.0"	"Subject.17.TP.1"	"Subject.17.TP.2"	"Subject.17.TP.3"	"Subject.18.TP.0"	"Subject.18.TP.1"	"Subject.18.TP.2"	"Subject.18.TP.3"
3.66	3.39	4.07	4.18	3.39	3.14	4.82	3.39	3.39	3.39	4.82	3.14	2.5	3.14	5.22	3.39	3.66	2.5	4.82	3.39	3.39	2.5	4.38	3.14	2.5	1.76	4.96	3.39	2.5	1.76	4.18	3.39	3.14	3.14	5.94	3.93	5.83	5.7	6.63	6.28	6.34	5.83	6.28	6.51	5.53	6.07	5.83	6.34	5.7	5.7	6.07	6.28	4.18	5.7	6.18	6.28	5.94	5.94	5.83	6.42	5.7	5.94	5.7	6.18	6.34	5.7	6.07	7.01	6.07	5.7	6.34	6.92
4.07	10.49	9.97	9.97	9.97	10.49	9.88	10.04	9.48	10.49	9.48	9.72	9.48	10.62	9.48	9.88	7.21	10.49	9.62	9.97	9.55	10.49	9.62	9.97	10.62	10.49	9.25	9.88	10.62	10.49	9.62	10.22	10.62	10.49	8.45	10.14	5.7	7.94	5.53	7.5	5.35	7.94	5.53	5.94	5.94	5.53	5.22	5.94	6.79	5.22	8.36	5.83	5.83	7.88	5.22	5.7	5.83	8.45	5.7	5.7	6.07	5.53	8.93	5.53	6.18	5.35	5.35	6.07	5.83	5.53	5.7	5.94
7.21	6.79	6.51	3.66	7.21	5.94	6.51	4.07	4.38	6.51	3.66	3.82	4.38	6.96	3.39	3.93	4.5	6.75	3.82	6.07	5.08	4.3	3.66	6.7	8.03	7.05	3.93	5.08	8.11	7.5	3.66	4.07	8.03	7.15	3.82	4.18	9.17	9.55	10.22	9.17	8.56	9.48	10.22	9	7.69	9.55	9.97	9	8.07	9.34	10.14	9	8.2	9.34	10.14	9.09	8.56	9.88	10.62	9.62	8.31	9.88	10.49	9.48	8.45	9.72	9.55	8.86	8.24	9.72	9.62	9
9	8.79	7.88	9	9	8.79	7.82	8.93	8.79	8.86	7.82	8.61	8.86	9	7.82	8.67	8.61	8.67	7.76	8.67	8.67	8.72	7.88	8.72	9.4	8.86	7.76	9.09	9.09	9.17	7.69	9.17	9.34	8.93	7.69	9.17	6.58	6.75	6.42	6.75	6.51	6.79	6.07	6.58	5.35	6.58	7.21	7.62	6.42	6.28	7.69	7.62	5.22	6.84	8.11	7.69	5.35	6.07	7.1	7.35	5.53	5.22	6.7	7.27	5.22	6.88	5.83	5.7	6.58	7.01	5.83	5.22
3.93	3.82	5.08	3.93	3.14	3.66	4.66	4.18	4.07	3.66	6.07	5.22	4.07	3.66	6.42	3.82	4.07	3.93	6.07	3.93	3.93	3.82	5.35	3.93	3.39	3.39	6.34	4.18	3.39	3.66	6.18	5.22	3.66	3.82	6.28	5.35	6.34	6.42	6.92	6.58	6.07	6.28	6.58	6.79	6.18	6.42	6.63	6.7	5.94	6.79	6.42	6.7	6.34	6.18	6.75	6.84	6.18	6.34	6.75	7.05	6.42	6.75	6.07	6.75	6.42	6.34	7.05	7.35	6.34	6.28	7.01	7.15
8.36	7.1	6.7	4.82	8.45	7.41	7.1	3.93	5.08	7.56	4.18	5.53	5.53	7.62	3.93	4.66	5.08	7.27	4.07	7.15	5.35	7.56	4.18	7.21	8.4	7.76	3.39	4.96	8.5	7.94	4.3	6.28	8.5	7.76	3.93	6.28	9.34	9.8	10.38	9.34	9.25	9.8	10.85	9.34	8.56	9.8	10.62	9.4	8.56	9.8	10.62	9.4	8.61	9.8	10.62	9.48	9	10.04	11.12	9.88	9	9.97	10.85	9.97	8.67	10.14	10.3	9.34	8.86	10.04	10.04	9.25
7.27	8.56	8.36	8.72	7.35	8.4	8.31	8.72	7.35	8.61	8.03	8.45	7.27	8.67	8.11	8.61	7.35	8.56	7.94	8.72	7.15	8.67	8.03	8.61	8.36	8.2	8.03	8.67	8.4	8.36	8.24	8.79	8.24	8.24	8.03	8.56	6.7	6.51	6.18	6.63	5.94	6.75	6.75	6.63	6.07	5.7	8.07	7.5	6.28	5.53	7.98	7.5	6.58	6.79	7.98	7.62	6.07	6.28	6.84	5.83	6.34	6.34	5.22	6.79	6.51	7.41	6.28	6.34	6.18	7.1	5.94	6.18
6.18	7.98	4.96	5.53	6.18	7.82	4.38	5.08	6.07	8.16	4.38	5.35	6.28	7.98	4.18	5.83	5.94	8.11	5.35	6.79	5.83	7.98	5.94	6.42	8.07	7.98	5.53	6.96	7.76	8.07	5.22	7.1	7.98	8.07	5.7	7.27	4.18	5.35	3.93	4.07	3.93	4.07	3.93	4.07	3.93	3.82	3.82	3.39	4.18	3.82	3.82	3.82	4.07	4.07	4.07	3.93	4.18	3.93	3.82	3.93	4.18	3.93	3.39	3.93	3.66	3.93	4.07	3.93	4.82	3.93	3.93	3.66
7.88	6.34	6.42	4.07	7.5	6.96	6.28	4.38	5.22	7.21	3.82	4.07	3.93	6.79	4.07	4.18	6.34	6.58	4.5	7.05	6.18	6.42	4.5	6.92	8.11	7.35	3.82	5.35	8.2	7.41	2.5	6.34	8.16	7.01	3.14	5.22	8.45	9.4	10.3	9	8.31	9.25	10.3	9.17	8.2	9.48	10.3	9.17	7.94	9.48	10.38	9.09	7.82	9.55	10.3	6.63	8.36	9.62	10.49	9.25	8.5	9.8	10.62	9.34	8.4	9.88	9.72	8.93	8.2	9.8	9.8	8.93
9.09	3.93	7.62	6.18	9.09	8.2	7.69	6.63	5.94	8.4	3.14	6.88	5.83	8.36	4.38	6.51	6.75	8.31	6.58	7.88	6.42	8.2	6.28	8.03	9.17	8.61	4.66	7.1	9.17	8.72	5.7	7.21	9.4	8.61	4.66	3.14	9.62	10.62	11.27	9.62	9.72	10.62	11.12	9.62	9.55	10.49	11.54	9.97	9.48	10.3	11.54	10.14	9.55	10.3	11.54	10.04	9.62	10.85	11.54	10.49	9.62	10.85	11.54	10.62	9.4	10.49	10.85	9.72	9.4	10.85	10.62	9.8
