"Subject.1.TP.0"	"Subject.1.TP.1"	"Subject.1.TP.2"	"Subject.1.TP.3"	"Subject.2.TP.0"	"Subject.2.TP.1"	"Subject.2.TP.2"	"Subject.2.TP.3"	"Subject.3.TP.0"	"Subject.3.TP.1"	"Subject.3.TP.2"	"Subject.3.TP.3"	"Subject.4.TP.0"	"Subject.4.TP.1"	"Subject.4.TP.2"	"Subject.4.TP.3"	"Subject.5.TP.0"	"Subject.5.TP.1"	"Subject.5.TP.2"	"Subject.5.TP.3"	"Subject.6.TP.0"	"Subject.6.TP.1"	"Subject.6.TP.2"	"Subject.6.TP.3"	"Subject.7.TP.0"	"Subject.7.TP.1"	"Subject.7.TP.2"	"Subject.7.TP.3"	"Subject.8.TP.0"	"Subject.8.TP.1"	"Subject.8.TP.2"	"Subject.8.TP.3"	"Subject.9.TP.0"	"Subject.9.TP.1"	"Subject.9.TP.2"	"Subject.9.TP.3"	"Subject.10.TP.0"	"Subject.10.TP.1"	"Subject.10.TP.2"	"Subject.10.TP.3"	"Subject.11.TP.0"	"Subject.11.TP.1"	"Subject.11.TP.2"	"Subject.11.TP.3"	"Subject.12.TP.0"	"Subject.12.TP.1"	"Subject.12.TP.2"	"Subject.12.TP.3"	"Subject.13.TP.0"	"Subject.13.TP.1"	"Subject.13.TP.2"	"Subject.13.TP.3"	"Subject.14.TP.0"	"Subject.14.TP.1"	"Subject.14.TP.2"	"Subject.14.TP.3"	"Subject.15.TP.0"	"Subject.15.TP.1"	"Subject.15.TP.2"	"Subject.15.TP.3"	"Subject.16.TP.0"	"Subject.16.TP.1"	"Subject.16.TP.2"	"Subject.16.TP.3"	"Subject.17.TP.0"	"Subject.17.TP.1"	"Subject.17.TP.2"	"Subject.17.TP.3"	"Subject.18.TP.0"	"Subject.18.TP.1"	"Subject.18.TP.2"	"Subject.18.TP.3"
6.79	4.18	4.18	5.08	6.34	4.66	4.18	4.3	6.18	3.93	4.66	4.18	6.18	4.07	4.5	4.38	6.79	4.5	4.66	3.82	6.92	4.66	4.66	3.39	6.07	4.5	4.38	4.38	5.7	4.5	5.35	3.82	5.7	4.5	4.5	4.07	6.42	5.94	5.22	5.22	5.22	5.94	5.08	6.28	6.51	6.18	5.53	5.7	6.18	5.94	5.83	5.53	6.51	5.94	6.34	6.18	6.28	5.83	6.88	6.07	6.51	6.07	6.34	6.28	5.7	5.83	6.34	6.63	6.7	6.07	5.35	6.28
10.22	9.25	8.79	8.56	10.04	9.17	8.93	8.5	9.88	9.25	8.61	8.67	9.88	9.34	8.61	8.45	10.3	9.4	8.56	8.56	10.3	9.25	8.56	8.67	9.8	9.34	8.61	8.61	9.88	9.4	8.61	8.45	9.88	9.34	8.72	8.79	8.2	8.79	8.72	8.07	8.67	8.79	8.61	7.94	8.67	8.79	8.67	8.03	8.45	8.61	8.61	7.98	8.5	8.61	8.67	8.07	8.11	8.67	8.31	7.98	8.2	8.67	8.5	7.98	8.31	8.72	8.36	8.11	8.36	8.72	8.45	8.16
4.66	5.08	4.38	5.94	4.18	4.5	5.08	5.35	4.3	4.96	5.22	4.96	4.5	4.82	5.53	5.08	3.93	4.18	4.18	4.82	4.38	4.96	4.96	4.3	3.93	4.38	5.22	5.53	4.18	4.18	5.83	4.5	4.3	4.3	4.3	5.08	3.82	3.66	4.5	3.66	3.39	3.66	3.66	3.66	5.22	3.14	3.39	2.5	3.82	4.5	5.08	3.39	3.66	3.66	3.66	3.39	3.82	3.66	3.39	3.66	3.82	3.66	4.96	3.66	2.5	3.39	3.66	3.66	3.82	5.08	3.39	5.7
6.58	5.7	7.21	6.92	6.84	5.22	6.92	7.21	7.01	5.53	7.41	6.7	6.88	4.96	7.41	7.05	6.42	5.22	7.35	6.28	6.88	3.66	7.35	6.79	5.94	5.35	7.35	6.75	6.42	5.22	7.41	6.84	6.28	5.7	7.56	6.96	7.69	7.69	7.1	7.94	7.69	7.56	7.5	8.03	7.5	7.35	7.15	7.88	7.5	7.27	7.01	7.94	7.56	7.35	5.83	7.94	7.5	7.5	7.35	7.82	7.41	7.56	7.27	7.88	7.62	7.5	7.35	7.82	7.76	7.56	7.62	7.56
6.07	5.94	7.1	6.7	5.7	6.28	7.15	6.96	6.96	5.83	7.5	7.27	6.7	5.53	7.62	7.01	6.7	6.07	7.56	7.1	6.75	6.07	7.56	6.96	5.35	5.22	7.56	6.58	6.07	5.7	7.56	5.08	5.22	6.07	7.5	6.63	7.5	7.56	6.7	8.16	7.62	7.41	6.92	8.24	7.56	7.5	6.51	8.07	7.76	7.5	7.05	8.03	7.5	7.27	6.92	8.11	7.41	7.21	6.58	7.76	7.35	7.41	6.88	8.03	7.69	7.1	7.1	7.88	7.62	7.35	7.15	7.82
6.7	7.56	8.4	8.2	8.5	7.62	8.2	7.94	8.4	7.88	7.94	8.36	8.72	7.69	8.03	8.2	8.67	7.76	8.03	8.31	8.79	7.69	7.94	7.98	7.94	7.5	7.98	8.16	8.03	7.82	7.94	8.31	8.11	7.82	7.88	8.16	8.79	8.4	8.36	8.31	8.36	8.03	7.94	8.31	8.61	8.5	7.94	8.56	8.5	8.4	8.2	8.45	8.72	8.31	7.94	8.4	8.79	8.56	8.4	8.56	8.79	8.45	8.36	8.4	9	8.5	8.45	8.61	8.79	8.5	8.4	8.5
5.53	8.16	5.35	7.1	5.22	7.98	6.07	6.92	5.53	8.03	6.58	6.84	5.22	7.94	6.58	6.79	6.07	8.16	6.51	6.63	5.94	8.07	6.75	6.51	4.66	7.88	6.63	7.05	4.82	7.88	6.28	6.88	4.82	7.94	6.7	7.15	9.09	7.76	8.31	6.07	8.86	7.76	8.45	6.34	9.25	7.94	8.56	6.07	9.4	7.62	8.4	6.18	9.34	7.62	8.61	5.94	8.86	7.94	8.2	6.28	8.93	7.94	7.98	5.83	8.93	7.88	8.03	6.18	9	7.98	8.16	6.34
4.82	9.55	8.67	8.79	3.82	9.55	8.67	8.79	5.35	9.62	8.11	8.86	4.66	9.62	7.98	8.86	4.3	9.8	8.11	9	3.66	9.88	8.16	8.93	4.5	9.55	8.45	8.86	4.38	9.62	8.56	8.72	5.08	9.4	8.56	8.86	5.53	5.22	8.07	5.7	7.56	5.35	5.35	5.7	6.28	5.35	4.96	5.08	7.56	5.08	5.22	5.7	5.53	5.35	5.08	5.53	7.88	6.7	5.53	5.53	5.94	6.7	5.08	6.07	6.07	5.22	5.22	5.94	6.28	5.35	5.53	5.83
9.4	6.63	6.18	7.41	8.36	6.7	6.7	7.5	7.82	7.41	3.39	7.21	7.05	7.05	3.66	7.41	8.31	7.41	3.39	7.41	8.61	7.01	3.82	7.62	7.35	6.79	5.7	7.98	7.21	7.35	4.5	7.94	7.41	7.05	4.82	7.98	8.11	8.56	9.25	7.15	8.07	8.4	9.17	7.27	8.03	8.03	8.86	7.05	7.69	8.16	9	7.27	8.03	8.07	8.93	7.27	8.2	8.5	9.17	7.41	8.07	8.61	9	7.41	7.56	8.56	8.61	7.56	7.94	8.56	8.67	7.5
5.08	4.3	6.92	6.96	5.94	4.3	6.84	6.75	6.42	4.3	7.21	6.79	5.94	4.5	7.1	6.58	5.7	4.82	7.15	6.84	6.07	4.07	7.21	6.58	5.53	4.3	7.15	6.28	5.35	5.08	7.1	6.79	5.35	5.53	7.27	6.07	7.21	6.79	6.58	7.76	6.84	7.05	6.18	7.88	7.35	7.15	6.07	7.82	7.27	7.1	5.94	7.69	7.27	6.96	5.94	7.82	7.15	7.01	6.18	7.88	7.56	6.42	6.51	7.82	7.35	6.7	6.79	7.69	7.56	6.96	6.51	7.88
6.96	4.66	6.07	6.28	6.7	5.7	5.7	6.88	6.84	5.35	6.18	5.83	6.79	6.18	6.34	5.7	7.27	5.53	6.18	6.75	7.1	5.94	6.34	5.94	6.34	5.7	6.07	4.3	6.58	5.53	6.79	6.42	6.58	4.82	6.42	5.83	6.79	6.63	5.83	6.42	6.7	6.84	6.63	6.84	7.01	6.7	6.75	7.1	6.63	6.63	6.7	6.96	6.88	6.58	6.96	6.92	6.96	6.18	6.7	6.96	6.92	6.63	6.84	6.88	7.01	6.75	6.7	6.79	6.96	6.75	6.7	7.1
7.35	7.5	8.03	8.07	7.94	7.69	7.98	8.24	8.2	7.76	8.5	7.98	8.4	7.21	8.5	7.88	8.16	7.21	8.16	7.76	7.76	7.27	8.31	7.56	7.15	7.41	8.5	7.76	6.96	7.69	8.45	7.41	7.05	7.41	8.5	7.82	8.16	8.31	7.76	8.45	8.11	8.11	8.16	8.5	8.36	8.2	7.62	8.45	8.36	8.2	7.94	8.4	8.45	8.16	7.76	8.45	8.24	8.2	7.88	8.61	8.24	8.11	7.69	8.36	8.56	8.31	8.31	8.56	8.56	8.36	8.36	8.61
4.38	6.88	3.82	6.34	4.82	6.88	4.5	6.28	4.82	7.15	5.83	6.42	4.82	7.35	5.35	5.35	5.22	6.51	5.53	5.83	4.96	7.1	5.83	5.7	4.07	6.51	4.82	6.7	4.07	6.79	5.53	5.94	3.93	6.58	5.22	6.88	7.27	6.34	8.11	4.82	6.79	6.07	7.76	6.07	7.98	6.34	8.24	5.83	7.88	6.75	8.11	4.66	7.98	6.34	8.07	6.07	7.62	6.63	7.56	5.94	7.76	6.58	7.5	5.94	7.94	6.18	7.56	4.66	4.66	6.18	7.56	5.53
10.49	10.22	10.38	10.14	10.49	10.3	10.38	10.14	10.38	10.22	10.04	10.38	10.49	10.3	10.04	10.22	10.62	10.3	10.22	10.22	10.62	10.3	10.22	10.22	10.38	10.38	10.3	10.22	10.38	10.38	10.38	10.49	10.38	10.3	10.38	10.38	10.38	10.22	9.88	9.97	10.22	10.22	9.97	9.88	10.3	10.3	9.88	9.8	10.22	10.38	9.55	9.8	10.22	10.49	9.62	9.97	10.3	10.3	10.04	10.14	10.3	10.3	10.04	10.14	10.3	10.3	10.04	10.22	10.3	10.3	10.3	10.3
7.62	8.5	8.24	8.4	7.41	8.45	8.16	8.31	7.41	8.24	8.16	8.16	7.69	8.31	8.31	8.16	8.24	8.4	7.82	8.11	8.11	8.56	7.82	8.31	6.42	8.36	8.16	8.31	6.92	8.31	8.2	8.36	6.84	8.2	8.31	5.7	8.36	8.67	9.34	8.11	8.72	8.72	9.34	8.11	8.07	8.56	9.34	8.11	8.31	8.5	9.4	8.16	8.16	8.5	9.25	8.16	7.94	8.72	9	8.24	7.94	8.79	9.17	8.16	7.5	8.61	9.09	8.24	7.69	8.61	9	8.24
7.15	7.35	7.01	6.84	7.05	6.34	7.05	6.79	8.11	6.88	6.92	6.63	8.03	7.5	6.92	6.96	8.2	6.42	6.92	5.35	8.4	6.28	6.96	4.38	7.21	6.34	6.88	6.34	7.27	6.42	6.92	6.75	6.92	6.34	7.05	6.84	7.56	7.62	7.98	7.41	7.41	7.69	8.03	7.5	7.27	7.41	7.76	6.88	7.21	7.76	7.27	7.05	7.41	7.41	7.88	7.01	7.21	7.35	7.41	7.27	6.79	7.62	7.62	7.1	6.84	8.03	7.27	7.27	7.35	8.03	7.35	7.27
7.1	6.42	6.96	5.22	6.88	6.79	6.79	6.51	6.92	6.34	6.63	6.58	7.15	5.7	6.79	6.38	7.62	5.83	7.05	6.51	7.27	6.51	6.92	5.08	6.92	5.83	6.51	4.07	6.88	5.83	6.51	5.7	6.88	5.22	6.63	6.42	7.1	6.18	7.01	7.01	7.15	6.88	7.1	7.21	7.41	6.88	7.05	6.92	7.35	6.51	7.35	7.21	7.35	6.7	7.15	6.51	7.35	6.75	6.51	7.01	7.27	6.28	7.05	6.63	7.27	6.92	6.92	7.1	7.5	6.79	6.88	7.35
5.35	8.31	8.93	9.34	4.66	8.11	9.09	9.4	3.82	8.11	8.86	9.55	5.08	8.2	8.72	9.4	4.96	8.24	8.79	9.4	4.82	8.11	8.86	9.34	3.66	7.94	8.79	9.55	3.93	8.16	9	9.4	3.39	8.16	9	9.55	5.35	6.84	5.35	6.51	6.18	6.51	5.22	5.53	6.42	6.28	6.58	6.79	6.34	5.83	6.75	6.92	6.28	5.22	6.58	7.15	6.34	5.22	5.35	6.58	5.83	6.18	6.28	6.51	5.94	6.28	6.58	6.92	5.53	5.22	6.92	6.58
8.24	8.03	7.82	8.16	7.98	7.94	8.07	8.03	8.86	7.69	8.67	7.82	8.67	7.1	8.67	8.07	7.69	7.62	8.4	7.82	7.98	7.76	8.4	7.94	7.82	7.56	8.4	7.41	7.35	7.76	8.4	7.5	7.69	7.5	8.2	7.56	8.4	8.36	8.45	8.72	8.61	8.5	8.2	8.61	8.72	8.07	8.03	8.79	8.86	8.07	8.31	8.79	8.67	8.4	8.4	8.67	8.45	8.36	6.63	8.5	8.45	8.16	6.63	8.61	8.86	8.36	8.24	8.5	8.61	8.4	8.31	8.56
7.76	5.35	5.22	3.14	6.96	5.08	4.3	4.66	6.88	5.08	5.7	4.66	6.96	5.22	6.18	4.07	7.15	5.35	5.7	4.3	7.05	5.7	5.22	4.18	6.63	5.53	5.83	3.82	6.63	4.66	4.96	3.93	6.63	5.83	5.53	4.82	6.51	6.07	6.28	5.53	6.58	6.34	6.51	6.42	6.58	7.01	6.18	6.18	6.07	6.42	5.53	6.42	6.42	6.42	6.07	6.42	6.51	6.51	6.07	6.34	6.58	6.51	5.83	5.35	5.83	6.42	5.08	6.51	6.51	6.42	6.07	6.51
7.82	7.41	8.16	8.24	7.76	7.35	8.24	8.16	8.5	7.5	8.24	8.11	8.24	7.41	8.36	8.36	8.07	7.5	8.36	8.24	8.07	7.82	8.24	8.24	7.76	7.62	8.36	8.24	7.5	7.62	8.31	8.16	7.5	7.69	8.36	8.24	8.07	8.24	7.94	8.61	8.16	8.36	7.56	8.67	8.79	8.36	7.98	8.5	8.67	8.36	7.21	8.67	8.31	8.36	7.82	8.86	8.72	8.16	8.24	8.72	8.72	8.4	8.11	8.72	8.72	8.4	8.2	8.79	8.67	8.24	8.11	8.72
6.84	6.58	7.76	7.98	6.92	6.92	7.76	7.82	8.24	7.01	8.2	7.88	8.2	6.51	8.24	7.82	7.98	6.96	8.07	7.69	7.41	6.96	8.07	7.82	6.79	6.88	7.88	7.82	6.7	7.05	7.98	7.76	6.75	6.96	7.98	7.69	7.82	7.88	7.21	8.36	7.94	7.82	7.21	8.36	7.94	8.11	7.27	8.36	8.11	8.11	6.96	8.36	7.94	8.2	7.1	8.5	8.03	7.76	7.69	8.4	8.03	7.82	7.76	8.5	8.11	8.07	8.07	8.45	8.31	7.88	7.88	8.4
7.98	7.62	7.05	6.58	8.56	7.27	7.21	6.18	8.36	7.05	7.1	6.96	8.5	7.27	7.15	7.35	9	7.35	7.1	6.58	8.93	7.5	7.15	6.75	7.69	6.18	7.05	6.51	7.94	6.28	7.21	6.63	7.88	5.35	7.21	4.3	6.63	6.7	7.05	6.79	4.66	6.18	7.01	6.75	6.92	6.75	6.42	6.58	6.51	6.58	6.79	6.51	6.75	6.88	6.51	4.66	6.58	6.42	6.34	6.84	6.63	6.84	6.96	6.34	6.88	6.84	6.84	5.22	6.84	6.7	6.42	6.79
10.85	9.4	8.61	8.5	10.62	9.4	8.79	8.4	10.14	9.4	8.31	8.4	10.14	9.4	7.94	8.24	10.49	9.34	8.24	8.4	10.49	9.34	8.11	8.45	10.3	9.4	8.67	8.5	10.14	9.48	8.86	8.56	10.3	9.48	8.67	8.45	8.24	9	8.79	7.98	8.2	9	8.79	7.98	8.4	9.09	9	8.24	8.61	8.93	8.93	8.24	8.36	8.93	9	8.31	8.31	9.09	8.67	8.03	8.4	9.09	8.56	8.2	8.2	9.8	8.56	7.94	8.4	9.62	8.61	8.07
8.56	8.2	8.5	8.36	8.07	7.76	8.4	8.61	8.56	7.82	9	8.79	8.45	8.03	9	8.72	8.11	7.94	8.93	8.86	7.94	8.03	8.93	8.79	8.16	8.31	8.93	8.79	8.24	8.45	8.79	8.61	8.2	8.36	8.86	8.5	8.56	8.45	7.82	9.09	9	8.61	8.31	9.25	8.93	8.72	8.36	9.09	9.09	8.72	8.16	9.17	9	8.72	8.24	9.17	9.09	8.61	8.5	9.09	9.17	8.56	8.72	9.17	9.09	8.86	8.72	9.17	9.09	8.67	8.72	9.09
6.51	7.01	8.11	8.03	6.58	7.1	7.94	8.07	7.62	6.42	8.56	8.2	7.82	6.42	8.86	8.11	7.5	6.92	8.31	7.94	7.35	6.92	8.45	7.88	6.7	7.21	8.07	8.07	6.84	7.01	8.03	7.69	6.79	6.75	8.07	7.62	7.94	8.07	7.27	8.56	7.98	8.16	7.41	8.56	7.88	7.98	7.88	8.61	8.03	8.03	7.76	8.5	7.88	7.98	7.5	8.56	7.82	8.24	7.76	8.36	7.88	7.98	7.35	8.56	7.98	7.82	7.82	8.31	8.07	7.94	7.82	8.45
8.45	7.82	8.56	8.67	8.24	8.07	8.61	8.67	8.67	7.62	8.79	8.72	8.61	7.88	8.79	8.56	8.79	7.82	8.5	8.45	8.56	7.88	8.5	8.36	7.98	7.82	8.56	8.4	7.88	7.98	8.5	8.24	8.07	7.88	8.61	8.4	8.31	8.5	8.24	8.86	8.5	8.45	8.07	8.72	9	8.61	8.31	8.86	8.79	8.56	8.24	8.86	8.93	8.67	8.03	8.93	8.93	8.4	8.56	8.79	8.67	8.5	8.2	8.79	8.79	8.45	8.5	8.72	8.93	8.45	8.5	8.79
9.34	8.4	9.4	9.09	9.17	8.56	9.17	9.17	9.4	8.5	9.25	9.48	9.25	8.5	9.25	9.55	9.4	8.72	9.48	9.34	9.48	8.86	9.55	9.4	8.79	8.79	9.55	9.48	8.72	9.09	9.55	9.62	8.67	8.79	9.55	9.4	9.88	9.48	8.93	10.22	9.88	9.72	9	9.72	9.8	9.34	8.72	9.62	9.72	9.55	8.72	9.55	9.8	9.48	8.72	9.62	9.88	9.48	9.34	9.55	9.88	9.48	9.34	9.62	9.72	9.17	9.17	9.62	9.72	9.17	9.09	9.62
4.3	5.83	2.5	3.39	4.07	5.53	3.66	3.14	4.5	5.94	3.93	2.5	4.96	5.08	3.82	3.14	4.18	4.38	3.14	2.5	4.3	4.82	3.39	2.5	5.22	4.66	3.66	3.14	4.96	4.82	3.39	2.5	4.5	4.96	3.39	2.5	4.66	4.38	4.38	4.38	4.38	4.38	4.3	4.5	4.38	4.18	4.18	4.07	4.5	4.18	4.5	4.3	5.08	4.5	5.35	5.83	4.66	4.3	4.3	4.5	4.82	4.38	4.07	4.5	5.53	4.38	4.38	4.38	4.38	4.38	4.38	4.18
9.8	7.88	7.35	8.61	9.34	8.03	7.56	8.45	8.93	8.2	5.35	8.07	8.93	8.24	5.08	8.03	9.25	8.36	4.38	8.36	9.09	8.36	5.08	8.16	8.2	8.03	6.42	8.45	8.16	8.2	6.58	8.67	8.31	8.11	6.58	8.72	8.72	8.86	9.4	7.21	8.79	8.67	9.48	7.41	8.45	8.67	9.48	7.41	8.4	8.67	9.48	7.41	8.56	8.56	9.48	7.5	8.67	8.79	9.48	7.69	8.86	8.93	9.48	7.56	8.24	9	9	8.03	8.11	8.86	9.17	7.94
7.01	6.28	7.56	7.21	6.79	5.83	7.62	7.1	7.76	5.7	7.88	7.41	7.56	5.94	7.88	7.21	6.92	5.7	7.98	7.01	7.5	6.18	7.76	6.84	6.58	6.84	7.82	6.84	6.34	6.34	7.76	7.01	6.34	6.51	7.94	6.92	7.62	7.41	6.51	8.2	7.5	7.15	6.7	8.2	7.62	7.62	6.34	8.16	7.62	7.56	6.34	8.2	7.76	7.69	6.28	8.24	7.69	7.27	7.15	8.16	7.69	7.27	6.75	8.24	7.76	7.05	7.21	7.98	7.41	7.27	7.27	8.11
9.88	8.93	8.72	7.82	9.8	8.93	8.86	7.76	9.62	8.93	8.4	8.24	9.62	9.17	8.45	8.31	9.8	8.86	8.72	7.98	9.8	8.93	8.72	8.11	9.62	8.72	8.72	8.11	9.62	8.79	8.72	7.98	9.8	8.72	8.79	8.07	9.4	8.2	8.67	7.88	9.4	8.2	8.72	7.82	9.17	7.76	8.79	7.94	9.25	7.82	8.79	7.88	9.4	7.76	8.79	8.03	9.34	8.03	8.61	8.2	9.4	8.03	8.4	8.07	9.17	7.98	8.67	8.16	9.17	7.76	8.56	8.03
11.54	11.12	11.54	11.54	11.27	11.54	11.79	11.79	11.79	11.54	11.54	11.79	11.79	11.54	11.54	11.79	11.79	11.54	11.54	11.79	11.79	11.54	11.79	11.79	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.54	11.79	11.79	11.12	12.01	11.54	11.79	11.27	11.79	11.79	11.79	11.27	12.01	11.79	11.79	11.27	12.01	11.79	11.79	11.27	12.01	11.79	11.79	11.27	12.01	11.79	11.79	11.27	12.16	11.79	11.79	11.79	12.01	11.79	11.79	11.79	12.01
9.48	9.34	9.72	9.62	9.4	9.34	9.72	9.48	9.55	9.09	9.72	9.4	9.55	9.09	9.72	9.48	9.55	9.09	9.55	9.48	9.4	9.09	9.4	9.48	8.93	9.25	9.48	9.34	8.79	8.86	9.34	9.48	8.72	8.86	9.4	9.34	9.8	9.72	9.48	9.55	9.8	9.55	9.4	9.48	9.88	9.4	9.4	9.48	9.88	9.4	9.34	9.48	9.88	9.4	9.4	9.34	9.72	9.8	9.09	9	9.72	9.72	9.09	9	9.97	9.48	9.34	9.4	9.97	9.34	9.34	9.48
9.55	9.72	8.86	9.48	9.48	9.62	9	9.72	9.34	9.72	8.72	9.62	9.17	9.72	8.56	9.62	9.48	9.55	8.67	9.62	9.25	9.4	8.79	9.55	8.72	9.62	8.86	9.72	8.86	9.55	8.67	9.72	8.86	9.62	9.09	9.72	8.5	9.09	9.55	8.4	8.93	9.09	9.8	8.4	8.86	9.25	9.72	8.4	8.93	9.09	9.88	8.56	8.86	9.17	9.8	8.61	8.5	9.17	9.72	8.45	8.36	9.17	9.72	8.45	8.61	9.55	9.48	8.67	8.72	9.09	9.4	8.67
11.79	11.54	11.27	11.12	11.79	11.27	11.27	11.12	11.12	11.27	10.85	11.12	11.27	11.12	10.85	11.12	10.85	11.12	10.85	11.12	11.12	11.12	10.85	11.27	11.27	11.12	11.12	11.12	11.12	11.12	10.85	11.27	11.27	11.12	10.85	11.27	11.54	11.54	11.54	11.27	11.79	11.54	11.54	10.85	11.27	11.54	11.12	11.27	11.27	11.54	11.12	10.85	11.27	11.54	11.12	10.85	11.27	11.54	10.85	11.27	11.27	11.54	11.12	11.12	11.27	11.54	11.12	11.12	11.27	11.54	11.12	11.12
7.94	8.72	9.62	9.25	7.62	8.61	9.62	9.25	8.03	8.67	9.34	9	7.98	8.61	9.4	9.09	8.03	8.79	9.17	9.17	7.88	8.5	9.17	9.17	7.05	8.45	9.34	9.17	7.15	8.67	9.25	9.09	7.15	8.56	9.48	9.09	8.86	9.25	9.72	8.93	8.4	9.17	9.62	8.86	8.24	9.17	9.62	8.93	8.24	9.17	9.72	8.93	8.4	9.09	9.72	9	8.07	9.4	9.4	8.67	8.16	9.4	9.4	8.67	8.03	9.25	9.62	9.09	7.98	9	9.55	9.17
6.75	5.22	6.28	7.76	6.42	4.96	6.63	7.65	6.63	4.5	6.88	8.03	6.58	4.66	6.28	7.69	7.1	5.08	6.7	7.62	7.01	5.53	6.51	7.5	6.75	4.96	6.58	6.88	6.18	5.35	6.84	7.82	6.51	4.66	6.34	7.76	7.41	6.28	6.79	7.05	7.35	6.42	7.05	7.01	6.88	6.51	6.96	7.27	7.15	6.7	6.84	7.15	7.01	6.28	7.05	7.21	6.84	6.58	7.21	6.18	6.84	6.88	7.1	7.21	7.15	6.51	6.42	7.41	7.15	6.51	6.58	7.41
