"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"190.08619_103.5"	0.12	-0.18	-0.03	-0.05	-0.01	0.03	-0.11	0.16	0	-0.03
"369.12935_49.7"	-0.06	0.03	-0.21	0.02	-0.09	-0.3	-0.09	0.09	-0.13	0.33
"133.06077_123.4"	-0.09	0.15	-0.2	-0.05	0	-0.15	-0.17	0.01	0.07	-0.09
"119.03401_115.4"	0.11	-0.17	-0.01	0.02	0.03	0.2	0.07	0.01	-0.01	-0.11
"181.07191_254"	0.11	-0.2	0.06	-0.01	0.04	-0.05	-0.03	0.05	0.08	0.02
"220.1183_48"	0.11	-0.17	-0.09	-0.09	-0.08	-0.01	0	0.11	0.08	0.02
"190.0862_104.6"	0.11	-0.15	-0.08	-0.13	-0.12	0.17	-0.03	-0.04	-0.09	-0.04
"181.0718_419.9"	0.02	0.16	-0.09	0.35	-0.01	0.09	-0.02	0.17	0.16	-0.09
"188.07042_106"	0.03	0.22	-0.02	-0.3	-0.09	0.02	-0.05	0.07	0.09	0
"123.05525_167.8"	0.11	-0.2	-0.1	0.01	0.03	0.02	-0.06	-0.01	-0.03	-0.08
"147.11277_124.4"	-0.06	0.09	-0.23	0.09	-0.23	-0.01	0.3	-0.06	-0.08	0.11
"380.25545_60.5"	0.07	-0.13	-0.11	-0.03	0.08	0.22	-0.31	0.23	0.22	0.17
"297.97307_125"	0.08	-0.09	-0.01	-0.05	-0.38	-0.05	-0.01	-0.25	0.16	0.18
"353.13496_72.1"	-0.08	0.14	0.17	-0.22	-0.08	-0.17	-0.05	0.09	0.04	-0.07
"460.19325_40.7"	0.03	0.14	-0.05	-0.12	-0.13	0.1	-0.28	-0.58	0.1	-0.07
"169.03547_123.1"	0.05	-0.05	0.3	-0.03	0.06	-0.27	-0.11	-0.08	-0.07	-0.01
"104.07101_114.8"	0.08	-0.11	-0.03	-0.37	-0.01	-0.04	0.27	-0.01	0.04	0.05
