"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"181.04836_126.5"	-0.14	0.08	0.03	0.02	-0.09	-0.11	0.03	0.04	-0.08	0.02
"165.09094_143.3"	-0.08	0.14	0.08	0.03	-0.12	0.03	0.21	0.13	0.03	-0.02
"169.0971_103.1"	-0.11	0.05	0.09	0.03	-0.14	-0.07	0.04	-0.27	0.05	-0.13
"444.1638_39.7"	-0.06	0.18	0.01	-0.02	-0.06	0.01	0.18	-0.02	-0.02	-0.1
"181.07191_254"	-0.13	0.11	-0.05	-0.04	0.01	-0.06	0.03	-0.01	-0.07	0.03
"353.13496_72.1"	0.09	-0.09	-0.13	0.08	0.09	-0.17	0.1	0.03	-0.14	-0.06
"265.11181_92.3"	-0.15	0.03	-0.01	0	-0.05	-0.08	0.05	-0.06	0.02	0.02
"150.05833_111.4"	-0.08	0.13	0.08	0.08	0.01	0.18	0.13	0.1	0	0.04
"195.08766_374.8"	0.13	0.11	0.05	-0.06	0.01	-0.09	-0.06	0.07	0.12	-0.02
"300.28962_83.8"	-0.07	0.15	0.06	0.08	-0.16	-0.01	0.06	-0.26	-0.03	0.01
"122.02708_124.2"	-0.15	0.07	0	-0.02	-0.07	-0.05	0.01	-0.04	-0.01	-0.02
"130.04993_122.3"	-0.05	0.18	0.08	0.01	-0.14	0.06	0.06	0.04	-0.03	-0.02
"130.04993_122.3"	0.15	0.08	0.01	-0.01	0.01	0.04	-0.03	0.07	0.01	-0.05
"153.05497_31.2"	-0.09	0.15	0.07	0.02	0.08	-0.03	-0.11	-0.03	0.11	0.04
"389.37781_89.9"	-0.14	0.09	0	-0.03	0.09	-0.01	-0.05	0.03	0.05	0
"123.05525_167.8"	-0.13	0.12	0.07	-0.04	0.04	0	-0.01	0.06	0	-0.04
"180.0655_135"	-0.07	0.07	-0.19	-0.16	0.03	-0.15	0.01	0.11	-0.01	-0.04
"175.02392_98.7"	-0.1	0.13	0.08	0.07	-0.12	-0.03	-0.07	-0.06	-0.02	0.01
"169.04828_128.9"	-0.15	0.05	0.03	-0.05	-0.04	-0.02	-0.06	0.03	-0.02	0.01
"245.07701_108.2"	-0.09	0.16	0.07	0.07	0.03	0.11	0.09	0.05	-0.08	0.01
"190.08619_103.5"	-0.13	0.11	0.01	0.02	0.06	-0.02	0.03	0.07	-0.15	0.01
"220.1183_48"	-0.13	0.09	0.06	0.04	0.09	-0.09	-0.04	-0.02	-0.09	0.1
"190.0862_104.6"	-0.12	0.09	0.05	0.11	0.12	0.03	-0.07	0.06	0.02	-0.09
"380.25545_60.5"	-0.09	0.09	0.08	0.05	0.08	0.19	0.18	-0.03	-0.18	0.13
"248.03152_103.7"	-0.13	0.09	0.04	0.05	0.08	0.05	-0.01	0.05	-0.1	0.02
"206.08117_107.7"	-0.14	0.02	-0.01	0.02	0.16	0.03	0.01	0.06	-0.04	-0.19
"206.08117_107.7"	-0.15	-0.03	-0.03	0.03	0.13	-0.12	0.02	0	-0.13	-0.02
"239.14951_26.6"	-0.1	0.14	0.01	-0.05	0.01	0.17	-0.12	0.11	0	0.07
"140.99493_159.1"	-0.09	0.17	0.01	0.08	0.05	-0.03	0.05	-0.05	-0.15	-0.05
"119.03401_115.4"	-0.12	0.1	0	0.01	0.03	0.13	-0.09	0	-0.03	-0.13
"209.09205_111.1"	-0.08	0.14	0.01	0.19	0.06	0.04	0.13	0.05	0.08	-0.04
"188.07042_106"	0	-0.18	0.01	0.14	0.2	-0.05	0.07	-0.08	-0.08	0.05
"302.30549_16.7"	-0.03	-0.18	-0.01	0.1	0.21	0.01	0.1	-0.09	-0.05	0.06
"205.09699_107.5"	-0.07	-0.17	0	0.11	0.11	-0.09	0.01	-0.02	-0.07	-0.08
"181.07197_146.7"	-0.11	0	0.06	0.11	0.12	0.01	-0.09	0.08	-0.13	0.25
"345.07731_114.8"	-0.08	0.11	-0.16	-0.14	0.06	0.01	0.06	-0.01	0.07	-0.02
"123.0445_125"	0.06	0.04	0.15	0.19	0.11	0.03	0.09	0.36	0.06	-0.03
"159.05125_32.2"	0.07	-0.1	0.04	0.22	0.09	-0.18	-0.01	0.14	0.08	0.03
"516.29917_150.4"	-0.07	0.13	0.11	0.11	0.03	-0.03	-0.11	-0.06	0.14	0.11
"472.43677_78.8"	-0.04	0.06	0.22	-0.09	-0.12	0.06	-0.17	0.04	0.07	0.08
"460.19325_40.7"	-0.01	-0.1	0.05	0.17	0.07	0.02	0.22	-0.05	0.48	-0.18
"183.0782_113.5"	-0.03	-0.02	0.04	0.3	0.22	0.1	0.12	0.05	0.13	0.04
